,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-388008.482104,-767465.0,-540960.0,-87348.0,-525692.504376,,
Tax Rate For Calcs,0.163166,0.085,0.184,0.174,0.152684,,
Normalized EBITDA,186373000.0,144149000.0,257768000.0,181316000.0,176913000.0,,
Total Unusual Items,-2378000.0,-9029000.0,-2940000.0,-502000.0,-3443000.0,,
Total Unusual Items Excluding Goodwill,-2378000.0,-9029000.0,-2940000.0,-502000.0,-3443000.0,,
Net Income From Continuing Operation Net Minority Interest,146015000.0,144066000.0,200147000.0,145483000.0,141833000.0,,
Reconciled Depreciation,19859000.0,20326000.0,20162000.0,19689000.0,19585000.0,,
Reconciled Cost Of Revenue,651528000.0,556848000.0,748328000.0,612979000.0,605077000.0,,
EBITDA,183995000.0,135120000.0,254828000.0,180814000.0,173470000.0,,
EBIT,164136000.0,114794000.0,234666000.0,161125000.0,153885000.0,,
Net Interest Income,11229000.0,12394000.0,12176000.0,14637000.0,15790000.0,,
Interest Income,11229000.0,12394000.0,12176000.0,14637000.0,15790000.0,,
Normalized Income,148004991.517896,152327535.0,202546040.0,145897652.0,144750307.495624,,
Net Income From Continuing And Discontinued Operation,146015000.0,144066000.0,200147000.0,145483000.0,141833000.0,,
Total Expenses,983567000.0,895561000.0,1105628000.0,954909000.0,934332000.0,,
Total Operating Income As Reported,162094000.0,105904000.0,234556000.0,160896000.0,153499000.0,,
Diluted Average Shares,149053000.0,150709000.0,151895000.0,153672000.0,154978000.0,,
Basic Average Shares,147864000.0,148999000.0,150647000.0,152460000.0,153300000.0,,
Diluted EPS,0.98,0.96,1.32,0.95,0.92,,
Basic EPS,0.99,0.97,1.33,0.95,0.93,,
Diluted NI Availto Com Stockholders,146015000.0,144066000.0,200147000.0,145483000.0,141833000.0,,
Net Income Common Stockholders,146015000.0,144066000.0,200147000.0,145483000.0,141833000.0,,
Net Income,146015000.0,144066000.0,200147000.0,145483000.0,141833000.0,,
Net Income Including Noncontrolling Interests,146015000.0,144066000.0,200147000.0,145483000.0,141833000.0,,
Net Income Continuous Operations,146015000.0,144066000.0,200147000.0,145483000.0,141833000.0,,
Tax Provision,28470000.0,-25859000.0,45061000.0,30583000.0,25558000.0,,
Pretax Income,174485000.0,118207000.0,245208000.0,176066000.0,167391000.0,,
Other Income Expense,-880000.0,-8981000.0,-1634000.0,304000.0,-2284000.0,,
Other Non Operating Income Expenses,1498000.0,48000.0,1306000.0,806000.0,1159000.0,,
Special Income Charges,-2042000.0,-8890000.0,-110000.0,-229000.0,-386000.0,,
Restructuring And Mergern Acquisition,2042000.0,8890000.0,110000.0,229000.0,386000.0,,
Gain On Sale Of Security,-336000.0,-139000.0,-2830000.0,-273000.0,-3057000.0,,
Net Non Operating Interest Income Expense,11229000.0,12394000.0,12176000.0,14637000.0,15790000.0,,
Interest Income Non Operating,11229000.0,12394000.0,12176000.0,14637000.0,15790000.0,,
Operating Income,164136000.0,114794000.0,234666000.0,161125000.0,153885000.0,,
Operating Expense,314826000.0,321017000.0,339775000.0,324966000.0,312373000.0,,
Depreciation Amortization Depletion Income Statement,2646000.0,2630000.0,2637000.0,2725000.0,2703000.0,,
Depreciation And Amortization In Income Statement,2646000.0,2630000.0,2637000.0,2725000.0,2703000.0,,
Amortization,2646000.0,2630000.0,2637000.0,2725000.0,2703000.0,,
Amortization Of Intangibles Income Statement,2646000.0,2630000.0,2637000.0,2725000.0,2703000.0,,
Research And Development,74587000.0,79523000.0,77973000.0,76205000.0,75307000.0,,
Selling General And Administration,237593000.0,238864000.0,259165000.0,246036000.0,234363000.0,,
Selling And Marketing Expense,195796000.0,198598000.0,217048000.0,201863000.0,196905000.0,,
General And Administrative Expense,41797000.0,40266000.0,42117000.0,44173000.0,37458000.0,,
Other Gand A,41797000.0,40266000.0,42117000.0,44173000.0,37458000.0,,
Salaries And Wages,,,,,-1159000.0,-475000.0,-582000.0
Gross Profit,478962000.0,435811000.0,574441000.0,486091000.0,466258000.0,,
Cost Of Revenue,668741000.0,574544000.0,765853000.0,629943000.0,621959000.0,,
Total Revenue,1147703000.0,1010355000.0,1340294000.0,1116034000.0,1088217000.0,,
Operating Revenue,1147703000.0,1010355000.0,1340294000.0,1116034000.0,1088217000.0,,
