quarter,epsActual,epsEstimate,epsDifference,surprisePercent
2025-06-30,-0.11,-0.12,0.01,0.0833
2025-03-31,-0.11,-0.144,0.03,0.2361
2024-12-31,-0.07,-0.08143,0.01,0.14039999
2024-09-30,-0.08,-0.10143,0.02,0.21129999
