,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-29683080.0,-20118630.0,-6284082.718206,-22198890.0,-16619022.569879
Tax Rate For Calcs,0.21,0.21,0.149273,0.21,0.277826
Normalized EBITDA,584178000.0,565082000.0,631266000.0,503700000.0,514923000.0
Total Unusual Items,-141348000.0,-95803000.0,-42098000.0,-105709000.0,-59818000.0
Total Unusual Items Excluding Goodwill,-141348000.0,-95803000.0,-42098000.0,-105709000.0,-59818000.0
Net Income From Continuing Operation Net Minority Interest,-44921000.0,15952000.0,103932000.0,-33620000.0,35783000.0
Reconciled Depreciation,260369000.0,240010000.0,260189000.0,219997000.0,230644000.0
Reconciled Cost Of Revenue,747034000.0,702348000.0,663353000.0,690633000.0,669828000.0
EBITDA,442830000.0,469279000.0,589168000.0,397991000.0,455105000.0
EBIT,182461000.0,229269000.0,328979000.0,165751000.0,224461000.0
Net Interest Income,-205063000.0,-194738000.0,-194452000.0,-186067000.0,-176521000.0
Interest Expense,209505000.0,198201000.0,204750000.0,187016000.0,176521000.0
Interest Income,4442000.0,3463000.0,10298000.0,949000.0,0.0
Normalized Income,66743920.0,91636370.0,139745917.281794,49890110.0,78981977.430121
Net Income From Continuing And Discontinued Operation,-44921000.0,15952000.0,103932000.0,-33620000.0,35783000.0
Total Expenses,1397859000.0,1272095000.0,1256849000.0,1252559000.0,1245310000.0
Total Operating Income As Reported,259896000.0,254294000.0,282438000.0,251164000.0,230294000.0
Diluted Average Shares,295364000.0,297260000.0,297201000.0,293603000.0,295838000.0
Basic Average Shares,295364000.0,294507000.0,293771000.0,293603000.0,293340000.0
Diluted EPS,-0.15,0.05,0.35,-0.11,0.12
Basic EPS,-0.15,0.05,0.35,-0.11,0.12
Diluted NI Availto Com Stockholders,-44921000.0,15952000.0,103932000.0,-33620000.0,35783000.0
Net Income Common Stockholders,-44921000.0,15952000.0,103932000.0,-33620000.0,35783000.0
Net Income,-44921000.0,15952000.0,103932000.0,-33620000.0,35783000.0
Minority Interests,-1581000.0,-281000.0,-1753000.0,45000.0,1162000.0
Net Income Including Noncontrolling Interests,-43340000.0,16233000.0,105685000.0,-33665000.0,34621000.0
Net Income Continuous Operations,-43340000.0,16233000.0,105685000.0,-33665000.0,34621000.0
Tax Provision,16296000.0,14835000.0,18544000.0,12400000.0,13319000.0
Pretax Income,-27044000.0,31068000.0,124229000.0,-21265000.0,47940000.0
Other Income Expense,-136070000.0,-94628000.0,-5749000.0,-139997000.0,-64638000.0
Other Non Operating Income Expenses,5278000.0,1175000.0,36349000.0,-34288000.0,-4820000.0
Special Income Charges,-54193000.0,-66140000.0,-112453000.0,-59052000.0,-58805000.0
Gain On Sale Of Ppe,962000.0,-5571000.0,2074000.0,-5091000.0,-2790000.0
Other Special Charges,,,261000.0,5417000.0,
Restructuring And Mergern Acquisition,55155000.0,60569000.0,114266000.0,48544000.0,56015000.0
Gain On Sale Of Security,-87155000.0,-29663000.0,70355000.0,-46657000.0,-1013000.0
Net Non Operating Interest Income Expense,-205063000.0,-194738000.0,-194452000.0,-186067000.0,-176521000.0
Interest Expense Non Operating,209505000.0,198201000.0,204750000.0,187016000.0,176521000.0
Interest Income Non Operating,4442000.0,3463000.0,10298000.0,949000.0,0.0
Operating Income,314089000.0,320434000.0,324430000.0,304799000.0,289099000.0
Operating Expense,643022000.0,561891000.0,567916000.0,574169000.0,569339000.0
Depreciation Amortization Depletion Income Statement,252566000.0,232154000.0,234609000.0,232240000.0,224501000.0
Depreciation And Amortization In Income Statement,252566000.0,232154000.0,234609000.0,232240000.0,224501000.0
Selling General And Administration,390456000.0,329737000.0,333307000.0,341929000.0,344838000.0
Selling And Marketing Expense,103405000.0,86863000.0,94037000.0,89466000.0,94268000.0
General And Administrative Expense,287051000.0,242874000.0,239270000.0,252463000.0,250570000.0
Other Gand A,287051000.0,242874000.0,239270000.0,252463000.0,250570000.0
Gross Profit,957111000.0,882325000.0,892346000.0,878968000.0,858438000.0
Cost Of Revenue,754837000.0,710204000.0,688933000.0,678390000.0,675971000.0
Total Revenue,1711948000.0,1592529000.0,1581279000.0,1557358000.0,1534409000.0
Operating Revenue,1711948000.0,1592529000.0,1581279000.0,1557358000.0,1534409000.0
