,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.21,0.21,0.21,0.21,0.0,,
Net Income From Continuing Operation Net Minority Interest,-209000000.0,120000000.0,147000000.0,160000000.0,105000000.0,,
Net Interest Income,173000000.0,194000000.0,213000000.0,238000000.0,238000000.0,,
Interest Expense,125000000.0,108000000.0,111000000.0,118000000.0,115000000.0,,
Interest Income,298000000.0,302000000.0,324000000.0,356000000.0,353000000.0,,
Normalized Income,-209000000.0,120000000.0,147000000.0,160000000.0,105000000.0,,
Net Income From Continuing And Discontinued Operation,-209000000.0,120000000.0,147000000.0,160000000.0,105000000.0,,
Diluted Average Shares,280066433.0,280066433.0,,280066433.0,280066433.0,280066433.0,
Basic Average Shares,280066433.0,280066433.0,,280066433.0,280066433.0,280066433.0,
Diluted EPS,-0.75,0.43,,0.57,0.37,0.62,
Basic EPS,-0.75,0.43,,0.57,0.37,0.62,
Diluted NI Availto Com Stockholders,-209000000.0,120000000.0,147000000.0,160000000.0,105000000.0,,
Net Income Common Stockholders,-209000000.0,120000000.0,147000000.0,160000000.0,105000000.0,,
Net Income,-209000000.0,120000000.0,147000000.0,160000000.0,105000000.0,,
Net Income Including Noncontrolling Interests,-209000000.0,120000000.0,147000000.0,160000000.0,105000000.0,,
Net Income Continuous Operations,-209000000.0,120000000.0,147000000.0,160000000.0,105000000.0,,
Tax Provision,11000000.0,,,,0.0,,25000000.0
Pretax Income,-198000000.0,120000000.0,170000000.0,160000000.0,105000000.0,,
Gain On Sale Of Security,-138000000.0,-18000000.0,-137000000.0,-42000000.0,-45000000.0,,
Operating Expense,14000000.0,14000000.0,14000000.0,10000000.0,10000000.0,,
Other Operating Expenses,3000000.0,5000000.0,5000000.0,,,4000000.0,4000000.0
Selling General And Administration,11000000.0,9000000.0,9000000.0,10000000.0,10000000.0,,
General And Administrative Expense,11000000.0,9000000.0,9000000.0,10000000.0,10000000.0,,
Total Revenue,-184000000.0,134000000.0,184000000.0,170000000.0,115000000.0,,
Operating Revenue,-184000000.0,134000000.0,184000000.0,170000000.0,115000000.0,,
