,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-46794.070132,-9450.0,-11085.950416,-3835.109018,-1107.963497,,
Tax Rate For Calcs,0.006295,0.21,0.003905,0.003295,0.004278,,
Normalized EBITDA,1105904000.0,760101000.0,838604000.0,956431000.0,963015000.0,,
Total Unusual Items,-7434000.0,-45000.0,-2839000.0,-1164000.0,-259000.0,,
Total Unusual Items Excluding Goodwill,-7434000.0,-45000.0,-2839000.0,-1164000.0,-259000.0,,
Net Income From Continuing Operation Net Minority Interest,865079000.0,543607000.0,614594000.0,732898000.0,741302000.0,,
Reconciled Depreciation,741000.0,996000.0,992000.0,1008000.0,992000.0,,
Reconciled Cost Of Revenue,6619000.0,6352000.0,6747000.0,6824000.0,6813000.0,,
EBITDA,1098470000.0,760056000.0,835765000.0,955267000.0,962756000.0,,
EBIT,1097729000.0,759060000.0,834773000.0,954259000.0,961764000.0,,
Net Interest Income,-211504000.0,-205554000.0,-204042000.0,-204520000.0,-201851000.0,,
Interest Expense,213797000.0,209251000.0,208121000.0,207317000.0,205777000.0,,
Interest Income,2293000.0,3697000.0,4079000.0,2797000.0,3926000.0,,
Normalized Income,872466205.929868,543642550.0,617421914.049584,734058164.890982,741559892.036503,,
Net Income From Continuing And Discontinued Operation,865079000.0,543607000.0,614594000.0,732898000.0,741302000.0,,
Total Expenses,-100544000.0,228678000.0,142330000.0,11979000.0,-104000.0,,
Diluted Average Shares,1057270580.0,1056432790.0,1055807977.0,1048338348.0,1042959627.0,,
Basic Average Shares,1056222836.0,1056012414.0,1054993118.0,1046626838.0,1042650713.0,,
Diluted EPS,0.82,0.51,0.58,0.7,0.71,,
Basic EPS,0.82,0.51,0.58,0.7,0.71,,
Diluted NI Availto Com Stockholders,865079000.0,543607000.0,614594000.0,732898000.0,741302000.0,,
Net Income Common Stockholders,865079000.0,543607000.0,614594000.0,732898000.0,741302000.0,,
Net Income,865079000.0,543607000.0,614594000.0,732898000.0,741302000.0,,
Minority Interests,-13289000.0,-8658000.0,-9611000.0,-11583000.0,-11451000.0,,
Net Income Including Noncontrolling Interests,878368000.0,552265000.0,624205000.0,744481000.0,752753000.0,,
Net Income Continuous Operations,878368000.0,552265000.0,624205000.0,744481000.0,752753000.0,,
Tax Provision,5564000.0,-2456000.0,2447000.0,2461000.0,3234000.0,,
Pretax Income,883932000.0,549809000.0,626652000.0,746942000.0,755987000.0,,
Other Income Expense,-6442000.0,-163000.0,-3028000.0,-1228000.0,731000.0,,
Other Non Operating Income Expenses,992000.0,-118000.0,-189000.0,-64000.0,990000.0,,
Special Income Charges,-7434000.0,-45000.0,-2839000.0,-1164000.0,-259000.0,,
Restructuring And Mergern Acquisition,7434000.0,45000.0,2839000.0,1164000.0,259000.0,,
Earnings From Equity Interest,,,0.0,0.0,0.0,0.0,0.0
Net Non Operating Interest Income Expense,-211504000.0,-205554000.0,-204042000.0,-204520000.0,-201851000.0,,
Interest Expense Non Operating,213797000.0,209251000.0,208121000.0,207317000.0,205777000.0,,
Interest Income Non Operating,2293000.0,3697000.0,4079000.0,2797000.0,3926000.0,,
Operating Income,1101878000.0,755526000.0,833722000.0,952690000.0,957107000.0,,
Operating Expense,-107163000.0,222326000.0,135583000.0,5155000.0,-6917000.0,,
Other Operating Expenses,19536000.0,19513000.0,19472000.0,19315000.0,19323000.0,,
Provision For Doubtful Accounts,-142001000.0,186957000.0,94428000.0,-31626000.0,-43000000.0,,
Depreciation Amortization Depletion Income Statement,741000.0,996000.0,992000.0,1008000.0,992000.0,,
Depreciation And Amortization In Income Statement,741000.0,996000.0,992000.0,1008000.0,992000.0,,
Depreciation Income Statement,741000.0,996000.0,992000.0,1008000.0,992000.0,,
Selling General And Administration,14561000.0,14860000.0,20691000.0,16458000.0,15768000.0,,
General And Administrative Expense,14561000.0,14860000.0,20691000.0,16458000.0,15768000.0,,
Other Gand A,14561000.0,14860000.0,20691000.0,16458000.0,15768000.0,,
Gross Profit,994715000.0,977852000.0,969305000.0,957845000.0,950190000.0,,
Cost Of Revenue,6619000.0,6352000.0,6747000.0,6824000.0,6813000.0,,
Total Revenue,1001334000.0,984204000.0,976052000.0,964669000.0,957003000.0,,
Operating Revenue,981798000.0,964691000.0,956580000.0,945354000.0,937680000.0,,
