,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,-2381.82
Tax Rate For Calcs,0.21,0.21
Normalized EBITDA,-185305.0,-68970.0
Total Unusual Items,,-11342.0
Total Unusual Items Excluding Goodwill,,-11342.0
Net Income From Continuing Operation Net Minority Interest,4049229.0,612185.0
EBITDA,-185305.0,-80312.0
EBIT,-185305.0,-80312.0
Net Interest Income,4234534.0,703839.0
Interest Income,4234534.0,703839.0
Normalized Income,4049229.0,621145.18
Net Income From Continuing And Discontinued Operation,4049229.0,612185.0
Total Expenses,185305.0,80312.0
Total Operating Income As Reported,-185305.0,-80312.0
Diluted Average Shares,35937500.0,12448489.0
Basic Average Shares,7187500.0,6445742.0
Diluted EPS,0.11,0.05
Basic EPS,0.11,0.05
Diluted NI Availto Com Stockholders,4049229.0,612185.0
Net Income Common Stockholders,4049229.0,612185.0
Net Income,4049229.0,612185.0
Net Income Including Noncontrolling Interests,4049229.0,612185.0
Net Income Continuous Operations,4049229.0,612185.0
Pretax Income,4049229.0,612185.0
Other Income Expense,,-11342.0
Gain On Sale Of Security,,-11342.0
Net Non Operating Interest Income Expense,4234534.0,703839.0
Interest Income Non Operating,4234534.0,703839.0
Operating Income,-185305.0,-80312.0
Operating Expense,185305.0,80312.0
Other Operating Expenses,185305.0,80312.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
