,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.006152,0.005647,0.21,0.21,0.0,
Normalized EBITDA,62463000.0,13968000.0,17781000.0,15092000.0,1612000.0,
Net Income From Continuing Operation Net Minority Interest,59613000.0,11446000.0,14341000.0,12421000.0,-1030000.0,
Reconciled Depreciation,607000.0,604000.0,604000.0,611000.0,613000.0,
Reconciled Cost Of Revenue,4504000.0,4409000.0,5789000.0,8026000.0,2807000.0,
EBITDA,62463000.0,13968000.0,17781000.0,15092000.0,1612000.0,
EBIT,61856000.0,13364000.0,17177000.0,14481000.0,999000.0,
Net Interest Income,-1121000.0,-1262000.0,-1433000.0,-1635000.0,-1477000.0,
Interest Expense,1874000.0,1853000.0,1955000.0,2060000.0,2029000.0,
Interest Income,753000.0,591000.0,522000.0,425000.0,552000.0,
Normalized Income,59613000.0,11446000.0,14341000.0,12421000.0,-1030000.0,
Net Income From Continuing And Discontinued Operation,59613000.0,11446000.0,14341000.0,12421000.0,-1030000.0,
Total Expenses,40582000.0,40560000.0,40941000.0,41251000.0,36394000.0,
Total Operating Income As Reported,61103000.0,12773000.0,16655000.0,14056000.0,447000.0,
Diluted Average Shares,18162000.0,18169000.0,17986000.0,17648000.0,17549000.0,
Basic Average Shares,17885000.0,17808000.0,17647000.0,17600000.0,17549000.0,
Diluted EPS,3.28,0.63,0.8,0.7,-0.06,
Basic EPS,3.33,0.64,0.81,0.71,-0.06,
Diluted NI Availto Com Stockholders,59613000.0,11446000.0,14341000.0,12421000.0,-1030000.0,
Net Income Common Stockholders,59613000.0,11446000.0,14341000.0,12421000.0,-1030000.0,
Net Income,59613000.0,11446000.0,14341000.0,12421000.0,-1030000.0,
Net Income Including Noncontrolling Interests,59613000.0,11446000.0,14341000.0,12421000.0,-1030000.0,
Net Income Continuous Operations,59613000.0,11446000.0,14341000.0,12421000.0,-1030000.0,
Tax Provision,369000.0,65000.0,,,0.0,0.0
Pretax Income,59982000.0,11511000.0,15222000.0,12421000.0,-1030000.0,
Net Non Operating Interest Income Expense,-1121000.0,-1262000.0,-1433000.0,-1635000.0,-1477000.0,
Interest Expense Non Operating,1874000.0,1853000.0,1955000.0,2060000.0,2029000.0,
Interest Income Non Operating,753000.0,591000.0,522000.0,425000.0,552000.0,
Operating Income,61103000.0,12773000.0,16655000.0,14056000.0,447000.0,
Operating Expense,36078000.0,36151000.0,35152000.0,33225000.0,33587000.0,
Research And Development,6821000.0,8436000.0,5632000.0,6182000.0,5540000.0,
Selling General And Administration,29257000.0,27715000.0,29520000.0,27043000.0,28047000.0,
Gross Profit,97181000.0,48924000.0,51807000.0,47281000.0,34034000.0,
Cost Of Revenue,4504000.0,4409000.0,5789000.0,8026000.0,2807000.0,
Total Revenue,101685000.0,53333000.0,57596000.0,55307000.0,36841000.0,
Operating Revenue,122429000.0,69975000.0,77270000.0,72702000.0,52371000.0,
