,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-1027976.577749,-139693.356048,-1288692.356286,-350623.768877,55752591.257323,,
Tax Rate For Calcs,0.051399,0.023282,0.085913,0.058437,0.102298,,
Normalized EBITDA,3806000000.0,3943000000.0,3779000000.0,3681000000.0,3649000000.0,,
Total Unusual Items,-20000000.0,-6000000.0,-15000000.0,-6000000.0,545000000.0,,
Total Unusual Items Excluding Goodwill,-20000000.0,-6000000.0,-15000000.0,-6000000.0,545000000.0,,
Net Income From Continuing Operation Net Minority Interest,1163000000.0,1323000000.0,1077000000.0,1183000000.0,1314000000.0,,
Reconciled Depreciation,1384000000.0,1367000000.0,1374000000.0,1324000000.0,1213000000.0,,
Reconciled Cost Of Revenue,15330000000.0,16938000000.0,15531000000.0,16936000000.0,16822000000.0,,
EBITDA,3786000000.0,3937000000.0,3764000000.0,3675000000.0,4194000000.0,,
EBIT,2402000000.0,2570000000.0,2390000000.0,2351000000.0,2981000000.0,,
Net Interest Income,-865000000.0,-809000000.0,-807000000.0,-828000000.0,-762000000.0,,
Interest Expense,865000000.0,809000000.0,807000000.0,828000000.0,762000000.0,,
Normalized Income,1181972023.422251,1328860306.643952,1090711307.643714,1188649376.231123,824752591.257323,,
Net Income From Continuing And Discontinued Operation,1163000000.0,1323000000.0,1077000000.0,1183000000.0,1314000000.0,,
Total Expenses,16930000000.0,18525000000.0,17260000000.0,18591000000.0,18381000000.0,,
Total Operating Income As Reported,2309000000.0,2491000000.0,2279000000.0,2181000000.0,2298000000.0,,
Diluted Average Shares,3453500000.0,3452900000.0,3449900000.0,3441200000.0,3394900000.0,,
Basic Average Shares,3432200000.0,3431400000.0,3425600000.0,3415200000.0,3370600000.0,,
Diluted EPS,0.32,0.36,0.29,0.32,0.35,,
Basic EPS,0.32,0.37,0.29,0.33,0.35,,
Diluted NI Availto Com Stockholders,1091000000.0,1255000000.0,1008000000.0,1115000000.0,1181000000.0,,
Average Dilution Earnings,0.0,0.0,0.0,0.0,-1000000.0,,
Net Income Common Stockholders,1091000000.0,1255000000.0,1008000000.0,1115000000.0,1182000000.0,,
Otherunder Preferred Stock Dividend,71000000.0,67000000.0,68000000.0,67000000.0,131000000.0,,
Preferred Stock Dividends,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,
Net Income,1163000000.0,1323000000.0,1077000000.0,1183000000.0,1314000000.0,,
Minority Interests,-295000000.0,-397000000.0,-370000000.0,-251000000.0,-678000000.0,,
Net Income Including Noncontrolling Interests,1458000000.0,1720000000.0,1447000000.0,1434000000.0,1992000000.0,,
Net Income Continuous Operations,1458000000.0,1720000000.0,1447000000.0,1434000000.0,1992000000.0,,
Tax Provision,79000000.0,41000000.0,136000000.0,89000000.0,227000000.0,,
Pretax Income,1537000000.0,1761000000.0,1583000000.0,1523000000.0,2219000000.0,,
Other Income Expense,90000000.0,75000000.0,109000000.0,170000000.0,633000000.0,,
Other Non Operating Income Expenses,5000000.0,-11000000.0,30000000.0,74000000.0,3000000.0,,
Special Income Charges,-20000000.0,-6000000.0,-15000000.0,0.0,542000000.0,,
Gain On Sale Of Ppe,0.0,,-12000000.0,0.0,598000000.0,,
Other Special Charges,17000000.0,2000000.0,1000000.0,,6000000.0,5000000.0,
Write Off,,4000000.0,,0.0,,0.0,
Impairment Of Capital Assets,3000000.0,,,,50000000.0,,0.0
Earnings From Equity Interest,105000000.0,92000000.0,94000000.0,102000000.0,85000000.0,,
Gain On Sale Of Security,,,0.0,-6000000.0,3000000.0,9000000.0,-11000000.0
Net Non Operating Interest Income Expense,-865000000.0,-809000000.0,-807000000.0,-828000000.0,-762000000.0,,
Interest Expense Non Operating,865000000.0,809000000.0,807000000.0,828000000.0,762000000.0,,
Operating Income,2312000000.0,2495000000.0,2281000000.0,2181000000.0,2348000000.0,,
Operating Expense,1600000000.0,1587000000.0,1729000000.0,1655000000.0,1559000000.0,,
Other Operating Expenses,1343000000.0,1299000000.0,1441000000.0,1358000000.0,1227000000.0,,
Selling General And Administration,257000000.0,288000000.0,288000000.0,297000000.0,332000000.0,,
Gross Profit,3912000000.0,4082000000.0,4010000000.0,3836000000.0,3907000000.0,,
Cost Of Revenue,15330000000.0,16938000000.0,15531000000.0,16936000000.0,16822000000.0,,
Total Revenue,19242000000.0,21020000000.0,19541000000.0,20772000000.0,20729000000.0,,
Operating Revenue,18837000000.0,20640000000.0,19163000000.0,20359000000.0,20402000000.0,,
