quarter,epsActual,epsEstimate,epsDifference,surprisePercent
2025-06-30,3.58,3.22104,0.36,0.1114
2025-03-31,3.29,3.18101,0.11,0.0343
2024-12-31,2.96,3.26013,-0.3,-0.0921
2024-09-30,3.48,3.47987,0.0,0.0
