,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-6000000.0,-8251000.0,-12628571.428571,-4080000.0,-3694019.471488,,
Tax Rate For Calcs,0.25,0.223,0.247619,0.24,0.230876,,
Normalized EBITDA,990000000.0,1039000000.0,770000000.0,916000000.0,931000000.0,,
Total Unusual Items,-24000000.0,-37000000.0,-51000000.0,-17000000.0,-16000000.0,,
Total Unusual Items Excluding Goodwill,-24000000.0,-37000000.0,-51000000.0,-17000000.0,-16000000.0,,
Net Income From Continuing Operation Net Minority Interest,578000000.0,625000000.0,395000000.0,534000000.0,552000000.0,,
Reconciled Depreciation,120000000.0,113000000.0,113000000.0,108000000.0,110000000.0,,
Reconciled Cost Of Revenue,489000000.0,491000000.0,497000000.0,512000000.0,469000000.0,,
EBITDA,966000000.0,1002000000.0,719000000.0,899000000.0,915000000.0,,
EBIT,846000000.0,889000000.0,606000000.0,791000000.0,805000000.0,,
Net Interest Income,-61000000.0,-61000000.0,-52000000.0,-60000000.0,-63000000.0,,
Interest Expense,74000000.0,85000000.0,81000000.0,88000000.0,86000000.0,,
Interest Income,13000000.0,24000000.0,29000000.0,28000000.0,23000000.0,,
Normalized Income,596000000.0,653749000.0,433371428.571429,546920000.0,564305980.528512,,
Net Income From Continuing And Discontinued Operation,578000000.0,625000000.0,395000000.0,534000000.0,552000000.0,,
Total Expenses,1052000000.0,1043000000.0,1052000000.0,1054000000.0,1025000000.0,,
Total Operating Income As Reported,818000000.0,846000000.0,561000000.0,738000000.0,775000000.0,,
Diluted Average Shares,180200000.0,180700000.0,181700000.0,182500000.0,183000000.0,,
Basic Average Shares,179700000.0,180000000.0,180800000.0,181700000.0,182300000.0,,
Diluted EPS,3.21,3.46,2.17,2.93,3.02,,
Basic EPS,3.22,3.47,2.18,2.94,3.03,,
Diluted NI Availto Com Stockholders,578000000.0,625000000.0,395000000.0,534000000.0,552000000.0,,
Net Income Common Stockholders,578000000.0,625000000.0,395000000.0,534000000.0,552000000.0,,
Net Income,578000000.0,625000000.0,395000000.0,534000000.0,552000000.0,,
Minority Interests,-1000000.0,,0.0,0.0,-1000000.0,,0.0
Net Income Including Noncontrolling Interests,579000000.0,625000000.0,395000000.0,534000000.0,553000000.0,,
Net Income Continuous Operations,579000000.0,625000000.0,395000000.0,534000000.0,553000000.0,,
Tax Provision,193000000.0,179000000.0,130000000.0,169000000.0,166000000.0,,
Pretax Income,772000000.0,804000000.0,525000000.0,703000000.0,719000000.0,,
Other Income Expense,-13000000.0,-16000000.0,-43000000.0,4000000.0,-10000000.0,,
Other Non Operating Income Expenses,8000000.0,10000000.0,3000000.0,6000000.0,4000000.0,,
Special Income Charges,-28000000.0,-35000000.0,-59000000.0,-21000000.0,-17000000.0,,
Restructuring And Mergern Acquisition,28000000.0,35000000.0,59000000.0,21000000.0,17000000.0,,
Earnings From Equity Interest,3000000.0,11000000.0,5000000.0,15000000.0,2000000.0,,
Gain On Sale Of Security,4000000.0,-2000000.0,8000000.0,4000000.0,1000000.0,,
Net Non Operating Interest Income Expense,-61000000.0,-61000000.0,-52000000.0,-60000000.0,-63000000.0,,
Interest Expense Non Operating,74000000.0,85000000.0,81000000.0,88000000.0,86000000.0,,
Interest Income Non Operating,13000000.0,24000000.0,29000000.0,28000000.0,23000000.0,,
Operating Income,846000000.0,881000000.0,620000000.0,759000000.0,792000000.0,,
Operating Expense,563000000.0,552000000.0,555000000.0,542000000.0,556000000.0,,
Other Operating Expenses,,491000000.0,,512000000.0,469000000.0,467000000.0,421000000.0
Depreciation Amortization Depletion Income Statement,120000000.0,113000000.0,113000000.0,108000000.0,110000000.0,,
Depreciation And Amortization In Income Statement,120000000.0,113000000.0,113000000.0,108000000.0,110000000.0,,
Selling General And Administration,443000000.0,439000000.0,442000000.0,434000000.0,446000000.0,,
General And Administrative Expense,,,,,446000000.0,413000000.0,428000000.0
Other Gand A,,,,,446000000.0,413000000.0,428000000.0
Salaries And Wages,,,,,-8000000.0,-8000000.0,-9000000.0
Gross Profit,1409000000.0,1433000000.0,1175000000.0,1301000000.0,1348000000.0,,
Cost Of Revenue,489000000.0,491000000.0,497000000.0,512000000.0,469000000.0,,
Total Revenue,1898000000.0,1924000000.0,1672000000.0,1813000000.0,1817000000.0,,
Operating Revenue,1898000000.0,1924000000.0,1672000000.0,1813000000.0,1817000000.0,,
