,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0,
Normalized EBITDA,-1890000.0,-92517000.0,-13390000.0,-1817000.0,-179574000.0,
Total Unusual Items,-2412000.0,88586000.0,7747000.0,-2174000.0,171838000.0,
Total Unusual Items Excluding Goodwill,-2412000.0,88586000.0,7747000.0,-2174000.0,171838000.0,
Net Income From Continuing Operation Net Minority Interest,-6642000.0,9095000.0,2082000.0,-6171000.0,164112000.0,
Reconciled Depreciation,20000.0,19000.0,23000.0,25000.0,24000.0,
EBITDA,-4302000.0,-3931000.0,-5643000.0,-3991000.0,-7736000.0,
EBIT,-4322000.0,-3950000.0,-5666000.0,-4016000.0,-7760000.0,
Normalized Income,-4230000.0,-79491000.0,-5665000.0,-3997000.0,-7726000.0,
Net Income From Continuing And Discontinued Operation,-6642000.0,9095000.0,2082000.0,-6171000.0,164112000.0,
Total Expenses,4322000.0,3950000.0,5666000.0,4016000.0,7760000.0,
Total Operating Income As Reported,-4338000.0,-462000.0,-2321000.0,-4016000.0,153473000.0,
Diluted Average Shares,11090809.0,3984876.0,555343.0,,539840.0,517915.0
Basic Average Shares,11090809.0,3984876.0,554260.0,,539840.0,517915.0
Diluted EPS,-0.6,2.28,3.749976,,304.0,-227.87
Basic EPS,-0.6,2.28,3.759984,,304.0,-227.87
Diluted NI Availto Com Stockholders,-6642000.0,9095000.0,2082000.0,-6171000.0,164112000.0,
Net Income Common Stockholders,-6642000.0,9095000.0,2082000.0,-6171000.0,164112000.0,
Net Income,-6642000.0,9095000.0,2082000.0,-6171000.0,164112000.0,
Net Income Including Noncontrolling Interests,-6642000.0,9095000.0,2082000.0,-6171000.0,164112000.0,
Net Income Continuous Operations,-6642000.0,9095000.0,2082000.0,-6171000.0,164112000.0,
Tax Provision,0.0,0.0,0.0,0.0,0.0,
Pretax Income,-6642000.0,9095000.0,2082000.0,-6171000.0,164112000.0,
Other Income Expense,-2320000.0,13045000.0,7748000.0,-2155000.0,171872000.0,
Other Non Operating Income Expenses,92000.0,-75541000.0,1000.0,19000.0,34000.0,
Special Income Charges,-16000.0,3488000.0,3345000.0,0.0,161233000.0,
Other Special Charges,,75644000.0,,,,
Restructuring And Mergern Acquisition,16000.0,-3488000.0,-3345000.0,0.0,-161233000.0,
Gain On Sale Of Security,-2396000.0,85098000.0,4402000.0,-2174000.0,10605000.0,
Operating Income,-4322000.0,-3950000.0,-5666000.0,-4016000.0,-7760000.0,
Operating Expense,4322000.0,3950000.0,5666000.0,4016000.0,7760000.0,
Research And Development,1064000.0,825000.0,3037000.0,972000.0,4439000.0,
Selling General And Administration,3258000.0,3125000.0,2629000.0,3044000.0,3321000.0,
Total Revenue,0.0,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,0.0,
