,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.21,0.21,
Net Income From Continuing Operation Net Minority Interest,18115000.0,30330000.0,24058000.0,26716000.0,22555000.0,
Net Interest Income,48246000.0,47660000.0,50832000.0,48554000.0,40994000.0,
Interest Expense,32581000.0,30464000.0,30937000.0,31854000.0,26992000.0,
Interest Income,80827000.0,78124000.0,81769000.0,80408000.0,67986000.0,
Normalized Income,18115000.0,30330000.0,24058000.0,26716000.0,22555000.0,
Net Income From Continuing And Discontinued Operation,18115000.0,30330000.0,24058000.0,26716000.0,22555000.0,
Diluted Average Shares,93303622.0,93677003.0,,65253275.0,65253275.0,65253275.0
Basic Average Shares,93303622.0,93677003.0,,65253275.0,65253275.0,65253275.0
Diluted EPS,0.19,0.32,,0.31,0.35,0.39
Basic EPS,0.19,0.32,,0.31,0.35,0.39
Diluted NI Availto Com Stockholders,18115000.0,30330000.0,24058000.0,26716000.0,22555000.0,
Net Income Common Stockholders,18115000.0,30330000.0,24058000.0,26716000.0,22555000.0,
Net Income,18115000.0,30330000.0,24058000.0,26716000.0,22555000.0,
Net Income Including Noncontrolling Interests,18115000.0,30330000.0,24058000.0,26716000.0,22555000.0,
Net Income Continuous Operations,18115000.0,30330000.0,24058000.0,26716000.0,22555000.0,
Pretax Income,18115000.0,30330000.0,24058000.0,26716000.0,22555000.0,
Gain On Sale Of Security,-17515000.0,3400000.0,-53814000.0,527000.0,-15672000.0,
Operating Expense,2341000.0,1458000.0,2562000.0,3120000.0,2662000.0,
Other Operating Expenses,-280000.0,-806000.0,-172000.0,-162000.0,-267000.0,
Selling General And Administration,2621000.0,2264000.0,2734000.0,3282000.0,2929000.0,
General And Administrative Expense,2621000.0,2264000.0,2734000.0,3282000.0,2929000.0,
Total Revenue,20456000.0,31788000.0,26620000.0,29836000.0,25217000.0,
Operating Revenue,20456000.0,31788000.0,26620000.0,29836000.0,25217000.0,
