,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,-327600.0,0.0,5388900.0,0.0,
Tax Rate For Calcs,0.2612,0.234,0.207736,0.253,0.273862,
Normalized EBITDA,377800000.0,290500000.0,340100000.0,385200000.0,465500000.0,
Total Unusual Items,,-1400000.0,,21300000.0,77000000.0,-8000000.0
Total Unusual Items Excluding Goodwill,,-1400000.0,,21300000.0,77000000.0,-8000000.0
Net Income From Continuing Operation Net Minority Interest,174500000.0,118400000.0,165400000.0,204300000.0,232100000.0,
Reconciled Depreciation,48300000.0,48400000.0,45600000.0,46000000.0,46100000.0,
Reconciled Cost Of Revenue,4656900000.0,4218100000.0,4335700000.0,4276700000.0,4281700000.0,
EBITDA,377800000.0,289100000.0,340100000.0,406500000.0,465500000.0,
EBIT,329500000.0,240700000.0,294500000.0,360500000.0,419400000.0,
Net Interest Income,-92900000.0,-86300000.0,-85100000.0,-86500000.0,-98800000.0,
Interest Expense,92900000.0,86300000.0,85100000.0,86500000.0,98800000.0,
Normalized Income,174500000.0,119472400.0,165400000.0,188388900.0,232100000.0,
Net Income From Continuing And Discontinued Operation,174500000.0,118400000.0,165400000.0,204300000.0,232100000.0,
Total Expenses,5577400000.0,5101700000.0,5198600000.0,5153300000.0,5156200000.0,
Total Operating Income As Reported,322200000.0,240900000.0,301100000.0,335600000.0,323500000.0,
Diluted Average Shares,49400000.0,49600000.0,49800000.0,49800000.0,50900000.0,
Basic Average Shares,48800000.0,48800000.0,48790595.0,49100000.0,50200000.0,
Diluted EPS,3.83,2.1,3.03,3.81,4.28,
Basic EPS,3.88,2.13,3.094859,3.87,4.34,
Diluted NI Availto Com Stockholders,189200000.0,104000000.0,151100000.0,189900000.0,217700000.0,
Net Income Common Stockholders,189200000.0,104000000.0,151100000.0,189900000.0,217700000.0,
Otherunder Preferred Stock Dividend,-27600000.0,,,,0.0,
Preferred Stock Dividends,12900000.0,14400000.0,14300000.0,14400000.0,14400000.0,
Net Income,174500000.0,118400000.0,165400000.0,204300000.0,232100000.0,
Minority Interests,-300000.0,100000.0,-500000.0,-400000.0,-700000.0,
Net Income Including Noncontrolling Interests,174800000.0,118300000.0,165900000.0,204700000.0,232800000.0,
Net Income Continuous Operations,174800000.0,118300000.0,165900000.0,204700000.0,232800000.0,
Tax Provision,61800000.0,36100000.0,43500000.0,69300000.0,87800000.0,
Pretax Income,236600000.0,154400000.0,209400000.0,274000000.0,320600000.0,
Other Income Expense,7300000.0,-1300000.0,-6600000.0,24400000.0,95900000.0,
Other Non Operating Income Expenses,7300000.0,100000.0,-99700000.0,3100000.0,95900000.0,
Special Income Charges,,-1400000.0,,18800000.0,80400000.0,-8000000.0
Gain On Sale Of Ppe,,,,,-17800000.0,
Gain On Sale Of Business,,,,19300000.0,102900000.0,
Other Special Charges,,300000.0,,,3800000.0,
Restructuring And Mergern Acquisition,,1100000.0,,500000.0,900000.0,8000000.0
Gain On Sale Of Security,,,,2500000.0,-3400000.0,-17400000.0
Net Non Operating Interest Income Expense,-92900000.0,-86300000.0,-85100000.0,-86500000.0,-98800000.0,
Interest Expense Non Operating,92900000.0,86300000.0,85100000.0,86500000.0,98800000.0,
Operating Income,322200000.0,242000000.0,301100000.0,336100000.0,323500000.0,
Operating Expense,920500000.0,883600000.0,862900000.0,876600000.0,874500000.0,
Other Taxes,,0.0,,,,4800000.0
Depreciation Amortization Depletion Income Statement,48300000.0,48400000.0,45600000.0,46000000.0,46100000.0,
Depreciation And Amortization In Income Statement,48300000.0,48400000.0,45600000.0,46000000.0,46100000.0,
Selling General And Administration,872200000.0,835200000.0,817300000.0,830600000.0,828400000.0,
General And Administrative Expense,,835200000.0,,830600000.0,809700000.0,816600000.0
Other Gand A,,835200000.0,,830600000.0,303100000.0,816600000.0
Salaries And Wages,,,,-200000.0,506600000.0,5900000.0
Gross Profit,1242700000.0,1125600000.0,1164000000.0,1212700000.0,1198000000.0,
Cost Of Revenue,4656900000.0,4218100000.0,4335700000.0,4276700000.0,4281700000.0,
Total Revenue,5899600000.0,5343700000.0,5499700000.0,5489400000.0,5479700000.0,
Operating Revenue,5899600000.0,5343700000.0,5499700000.0,5489400000.0,5479700000.0,
