,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,19311231.483808,304229250.0,-111181750.0,-125052500.0,28254369.735105
Tax Rate For Calcs,0.258085,0.25,0.25,0.25,0.334783
Normalized EBITDA,-2443484000.0,-2164001000.0,903297000.0,686050000.0,1621297000.0
Total Unusual Items,74825000.0,1216917000.0,-444727000.0,-500210000.0,84396000.0
Total Unusual Items Excluding Goodwill,74825000.0,1216917000.0,-444727000.0,-500210000.0,84396000.0
Net Income From Continuing Operation Net Minority Interest,-1318876000.0,-476737000.0,22532000.0,-100653000.0,609398000.0
Reconciled Cost Of Revenue,14196514000.0,19861074000.0,20652556000.0,21376366000.0,20309195000.0
EBITDA,-2368659000.0,-947084000.0,458570000.0,185840000.0,1705693000.0
EBIT,-2368659000.0,-947084000.0,458570000.0,185840000.0,1705693000.0
Net Interest Income,-237275000.0,-234259000.0,-202145000.0,-105157000.0,-186833000.0
Interest Expense,341604000.0,347513000.0,300935000.0,212897000.0,281733000.0
Interest Income,104329000.0,113254000.0,98790000.0,107740000.0,94900000.0
Normalized Income,-1374389768.516192,-1389424750.0,356077250.0,274504500.0,553256369.735105
Net Income From Continuing And Discontinued Operation,-1318876000.0,-476737000.0,22532000.0,-100653000.0,609398000.0
Total Expenses,16172835000.0,21335563000.0,23777369000.0,23645104000.0,23152044000.0
Total Operating Income As Reported,-2865152000.0,-1942591000.0,75534000.0,-1138043000.0,-339608000.0
Diluted Average Shares,51562321.0,51372526.0,51240662.0,52467480.0,55911567.0
Basic Average Shares,51562321.0,51372526.0,51225727.0,52019168.0,54000354.0
Diluted EPS,-25.6,-9.24,0.44,-2.12,5.36
Basic EPS,-25.6,-9.24,0.44,-1.92,11.28
Diluted NI Availto Com Stockholders,-1318876000.0,-796980000.0,22532000.0,-100653000.0,609398000.0
Net Income Common Stockholders,-1318876000.0,-476737000.0,22532000.0,-100653000.0,609398000.0
Net Income,-1318876000.0,-476737000.0,22532000.0,-100653000.0,609398000.0
Minority Interests,737980000.0,356485000.0,16746000.0,18847000.0,-351025000.0
Net Income Including Noncontrolling Interests,-2056856000.0,-833222000.0,5786000.0,-119500000.0,960423000.0
Net Income Continuous Operations,-2056856000.0,-833222000.0,5786000.0,-119500000.0,960423000.0
Earnings From Equity Interest Net Of Tax,-46072000.0,-119161000.0,-3389000.0,-67644000.0,13181000.0
Tax Provision,-699479000.0,-580536000.0,148460000.0,24799000.0,476718000.0
Pretax Income,-2710263000.0,-1294597000.0,157635000.0,-27057000.0,1423960000.0
Other Income Expense,-143793000.0,-375505000.0,-371095000.0,-329845000.0,1718557000.0
Other Non Operating Income Expenses,-218618000.0,-1592422000.0,73632000.0,170365000.0,1634161000.0
Special Income Charges,0.0,130655000.0,-223588000.0,-660964000.0,0.0
Impairment Of Capital Assets,0.0,357616000.0,223588000.0,660964000.0,0.0
Gain On Sale Of Security,74825000.0,1086262000.0,-221139000.0,160754000.0,84396000.0
Net Non Operating Interest Income Expense,-237275000.0,-234259000.0,-202145000.0,-105157000.0,-186833000.0
Interest Expense Non Operating,341604000.0,347513000.0,300935000.0,212897000.0,281733000.0
Interest Income Non Operating,104329000.0,113254000.0,98790000.0,107740000.0,94900000.0
Operating Income,-2329195000.0,-684833000.0,730875000.0,407945000.0,-107764000.0
Operating Expense,1976321000.0,1474489000.0,3124813000.0,2268738000.0,2842849000.0
Other Operating Expenses,-535957000.0,-900142000.0,-431753000.0,-885024000.0,-231844000.0
Research And Development,151802000.0,256054000.0,208668000.0,215394000.0,240428000.0
Selling General And Administration,2360476000.0,2118577000.0,3347898000.0,2938368000.0,2834265000.0
Selling And Marketing Expense,1145411000.0,1205849000.0,2172100000.0,1797061000.0,1466397000.0
General And Administrative Expense,1215065000.0,912728000.0,1175798000.0,1141307000.0,1367868000.0
Other Gand A,1215065000.0,912728000.0,1175798000.0,1141307000.0,1367868000.0
Gross Profit,-352874000.0,789656000.0,3855688000.0,2676683000.0,2735085000.0
Cost Of Revenue,14196514000.0,19861074000.0,20652556000.0,21376366000.0,20309195000.0
Total Revenue,13843640000.0,20650730000.0,24508244000.0,24053049000.0,23044280000.0
Operating Revenue,13843640000.0,20650730000.0,24508244000.0,24053049000.0,23044280000.0
