quarter,epsActual,epsEstimate,epsDifference,surprisePercent
2025-06-30,1.15,0.9725,0.18,0.1825
2025-03-31,0.85,0.69667,0.15,0.2201
2024-12-31,1.34,1.51,-0.17,-0.1126
2024-09-30,1.19,1.385,-0.2,-0.1408
