,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.009718,0.21,0.21,
Normalized EBITDA,1860000.0,5017000.0,5719000.0,8960000.0,14380000.0,
Net Income From Continuing Operation Net Minority Interest,-9359000.0,-7196000.0,-6114000.0,-7070000.0,2786000.0,
Reconciled Depreciation,7841000.0,7482000.0,8485000.0,9013000.0,8729000.0,
Reconciled Cost Of Revenue,179014000.0,171593000.0,175583000.0,169340000.0,183319000.0,
EBITDA,1860000.0,5017000.0,5719000.0,8960000.0,14380000.0,
EBIT,-5981000.0,-2465000.0,-2766000.0,-53000.0,5651000.0,
Net Interest Income,-3134000.0,-3167000.0,-3408000.0,-3604000.0,-3801000.0,
Interest Expense,3134000.0,3167000.0,3408000.0,3604000.0,3801000.0,
Normalized Income,-9359000.0,-7196000.0,-6114000.0,-7070000.0,2786000.0,
Net Income From Continuing And Discontinued Operation,-9359000.0,-7196000.0,-6114000.0,-7070000.0,2786000.0,
Total Expenses,230553000.0,221115000.0,222682000.0,213516000.0,233652000.0,
Total Operating Income As Reported,-2601000.0,-3225000.0,-4434000.0,315000.0,3407000.0,
Diluted Average Shares,27788000.0,27680000.0,,27617663.0,27853000.0,27529000.0
Basic Average Shares,27788000.0,27680000.0,,27617663.0,27611000.0,27529000.0
Diluted EPS,-0.34,-0.26,,-0.26,0.1,-0.22
Basic EPS,-0.34,-0.26,,-0.26,0.1,-0.22
Diluted NI Availto Com Stockholders,-9359000.0,-7196000.0,-6114000.0,-7070000.0,2786000.0,
Net Income Common Stockholders,-9359000.0,-7196000.0,-6114000.0,-7070000.0,2786000.0,
Net Income,-9359000.0,-7196000.0,-6114000.0,-7070000.0,2786000.0,
Net Income Including Noncontrolling Interests,-9359000.0,-7196000.0,-6114000.0,-7070000.0,2786000.0,
Net Income Continuous Operations,-9359000.0,-7196000.0,-6114000.0,-7070000.0,2786000.0,
Tax Provision,244000.0,1564000.0,-60000.0,3413000.0,-936000.0,
Pretax Income,-9115000.0,-5632000.0,-6174000.0,-3657000.0,1850000.0,
Other Income Expense,-3380000.0,760000.0,1668000.0,-368000.0,2244000.0,
Other Non Operating Income Expenses,-3430000.0,466000.0,1879000.0,384000.0,2296000.0,
Earnings From Equity Interest,50000.0,294000.0,-211000.0,-752000.0,-52000.0,
Net Non Operating Interest Income Expense,-3134000.0,-3167000.0,-3408000.0,-3604000.0,-3801000.0,
Interest Expense Non Operating,3134000.0,3167000.0,3408000.0,3604000.0,3801000.0,
Operating Income,-2601000.0,-3225000.0,-4434000.0,315000.0,3407000.0,
Operating Expense,51539000.0,49522000.0,47099000.0,44176000.0,50333000.0,
Research And Development,18704000.0,17826000.0,18471000.0,17643000.0,18457000.0,
Selling General And Administration,32835000.0,31696000.0,28628000.0,26533000.0,31876000.0,
Gross Profit,48938000.0,46297000.0,42665000.0,44491000.0,53740000.0,
Cost Of Revenue,179014000.0,171593000.0,175583000.0,169340000.0,183319000.0,
Total Revenue,227952000.0,217890000.0,218248000.0,213831000.0,237059000.0,
Operating Revenue,227952000.0,217890000.0,218248000.0,213831000.0,237059000.0,
