,2024-09-30
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.25
Normalized EBITDA,-6585.0
Net Income From Continuing Operation Net Minority Interest,141906.0
EBITDA,-6585.0
EBIT,-6585.0
Net Interest Income,148491.0
Interest Income,148491.0
Normalized Income,141906.0
Net Income From Continuing And Discontinued Operation,141906.0
Total Expenses,6585.0
Total Operating Income As Reported,-6585.0
Diluted NI Availto Com Stockholders,141906.0
Net Income Common Stockholders,141906.0
Net Income,141906.0
Net Income Including Noncontrolling Interests,141906.0
Net Income Continuous Operations,141906.0
Pretax Income,141906.0
Net Non Operating Interest Income Expense,148491.0
Interest Income Non Operating,148491.0
Operating Income,-6585.0
Operating Expense,6585.0
Other Operating Expenses,918.0
Selling General And Administration,5667.0
General And Administrative Expense,5667.0
Other Gand A,5667.0
Total Revenue,0.0
Operating Revenue,0.0
