,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.000204,0.000363,0.006622,0.21,0.21
Normalized EBITDA,-13073000.0,-12130000.0,-9024000.0,-11925000.0,-12888000.0
Net Income From Continuing Operation Net Minority Interest,-14736000.0,-13766000.0,-10651000.0,-13099000.0,-14029000.0
Reconciled Depreciation,193000.0,184000.0,178000.0,169000.0,141000.0
Reconciled Cost Of Revenue,2139000.0,2036000.0,2571000.0,2248000.0,1900000.0
EBITDA,-13073000.0,-12130000.0,-9024000.0,-11925000.0,-12888000.0
EBIT,-13266000.0,-12314000.0,-9202000.0,-12094000.0,-13029000.0
Net Interest Income,-1473000.0,-1457000.0,-1520000.0,-958000.0,-959000.0
Interest Expense,1473000.0,1457000.0,1520000.0,958000.0,959000.0
Normalized Income,-14736000.0,-13766000.0,-10651000.0,-13099000.0,-14029000.0
Net Income From Continuing And Discontinued Operation,-14736000.0,-13766000.0,-10651000.0,-13099000.0,-14029000.0
Total Expenses,27965000.0,25785000.0,25616000.0,26384000.0,25780000.0
Total Operating Income As Reported,-14376000.0,-13437000.0,-10274000.0,-13011000.0,-13973000.0
Diluted Average Shares,26071316.0,25876062.0,24715681.0,22783337.0,21628542.0
Basic Average Shares,26071316.0,25876062.0,24715681.0,22783337.0,21628542.0
Diluted EPS,-0.57,-0.53,-0.43,-0.57,-0.65
Basic EPS,-0.57,-0.53,-0.43,-0.57,-0.65
Diluted NI Availto Com Stockholders,-14736000.0,-13766000.0,-10651000.0,-13099000.0,-14029000.0
Net Income Common Stockholders,-14736000.0,-13766000.0,-10651000.0,-13099000.0,-14029000.0
Net Income,-14736000.0,-13766000.0,-10651000.0,-13099000.0,-14029000.0
Net Income Including Noncontrolling Interests,-14736000.0,-13766000.0,-10651000.0,-13099000.0,-14029000.0
Net Income Continuous Operations,-14736000.0,-13766000.0,-10651000.0,-13099000.0,-14029000.0
Tax Provision,-3000.0,-5000.0,-71000.0,47000.0,41000.0
Pretax Income,-14739000.0,-13771000.0,-10722000.0,-13052000.0,-13988000.0
Other Income Expense,1110000.0,1123000.0,1072000.0,917000.0,944000.0
Other Non Operating Income Expenses,1110000.0,1123000.0,1072000.0,917000.0,944000.0
Net Non Operating Interest Income Expense,-1473000.0,-1457000.0,-1520000.0,-958000.0,-959000.0
Interest Expense Non Operating,1473000.0,1457000.0,1520000.0,958000.0,959000.0
Operating Income,-14376000.0,-13437000.0,-10274000.0,-13011000.0,-13973000.0
Operating Expense,25826000.0,23749000.0,23045000.0,24136000.0,23880000.0
Research And Development,2469000.0,2517000.0,2805000.0,2504000.0,2765000.0
Selling General And Administration,23357000.0,21232000.0,20240000.0,21632000.0,21115000.0
Gross Profit,11450000.0,10312000.0,12771000.0,11125000.0,9907000.0
Cost Of Revenue,2139000.0,2036000.0,2571000.0,2248000.0,1900000.0
Total Revenue,13589000.0,12348000.0,15342000.0,13373000.0,11807000.0
Operating Revenue,13589000.0,12348000.0,15342000.0,13373000.0,11807000.0
