,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0
Normalized EBITDA,-2720095.0,-2992198.0,-3071069.0,863411.0,-3734051.0
Total Unusual Items,1030000.0,861000.0,1643000.0,-2691400.0,813800.0
Total Unusual Items Excluding Goodwill,1030000.0,861000.0,1643000.0,-2691400.0,813800.0
Net Income From Continuing Operation Net Minority Interest,-206699.0,-995969.0,763203.0,-4093954.0,-1711784.0
Reconciled Depreciation,1399.0,1210.0,1723.0,1724.0,1690.0
EBITDA,-1690095.0,-2131198.0,-1428069.0,-1827989.0,-2920251.0
EBIT,-1691494.0,-2132408.0,-1429792.0,-1829713.0,-2921941.0
Net Interest Income,463395.0,275439.0,549995.0,427159.0,396357.0
Interest Income,463395.0,275439.0,549995.0,427159.0,396357.0
Normalized Income,-1236699.0,-1856969.0,-879797.0,-1402554.0,-2525584.0
Net Income From Continuing And Discontinued Operation,-206699.0,-995969.0,763203.0,-4093954.0,-1711784.0
Total Expenses,1691494.0,2132408.0,1429792.0,1829713.0,2921941.0
Diluted Average Shares,1036700.0,,428116.0,294452.0,300100.0
Basic Average Shares,1036700.0,,428116.0,294452.0,300100.0
Diluted EPS,-0.41,,-0.75,-34.75,-6.59
Basic EPS,-0.41,,-0.75,-34.75,-6.59
Diluted NI Availto Com Stockholders,-425158.0,-1229466.0,-361425.0,-10210529.0,-1977858.0
Net Income Common Stockholders,-425158.0,-1229466.0,-361425.0,-10210529.0,-1977858.0
Otherunder Preferred Stock Dividend,,,0.0,5693000.0,
Preferred Stock Dividends,218459.0,5926497.0,1124628.0,423575.0,266074.0
Net Income,-206699.0,-995969.0,763203.0,-4093954.0,-1711784.0
Net Income Including Noncontrolling Interests,-206699.0,-995969.0,763203.0,-4093954.0,-1711784.0
Net Income Continuous Operations,-206699.0,-995969.0,763203.0,-4093954.0,-1711784.0
Tax Provision,0.0,0.0,0.0,0.0,0.0
Pretax Income,-206699.0,-995969.0,763203.0,-4093954.0,-1711784.0
Other Income Expense,1021400.0,861000.0,1643000.0,-2691400.0,813800.0
Earnings From Equity Interest,-8600.0,,,,0.0
Gain On Sale Of Security,1030000.0,861000.0,1643000.0,-2691400.0,813800.0
Net Non Operating Interest Income Expense,463395.0,275439.0,549995.0,427159.0,396357.0
Interest Income Non Operating,463395.0,275439.0,549995.0,427159.0,396357.0
Operating Income,-1691494.0,-2132408.0,-1429792.0,-1829713.0,-2921941.0
Operating Expense,1691494.0,2132408.0,1429792.0,1829713.0,2921941.0
Research And Development,609249.0,577893.0,212103.0,307211.0,877717.0
Selling General And Administration,1082245.0,1554515.0,1217689.0,1522502.0,2044224.0
General And Administrative Expense,1082245.0,1554515.0,1217689.0,1522502.0,2044224.0
Other Gand A,1082245.0,1554515.0,1217689.0,1522502.0,2044224.0
Total Revenue,0.0,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0,0.0
