,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,22.523197,0.0,0.0,0.0,-12.462541,
Tax Rate For Calcs,7.5e-05,0.21,0.000154,6.4e-05,1.6e-05,
Total Unusual Items,301000.0,,0.0,0.0,-786000.0,0.0
Total Unusual Items Excluding Goodwill,301000.0,,0.0,0.0,-786000.0,0.0
Net Income From Continuing Operation Net Minority Interest,-13363000.0,-7015000.0,-38836000.0,-31024000.0,-63068000.0,
Reconciled Depreciation,2154000.0,1459000.0,1933000.0,2022000.0,1210000.0,
Net Interest Income,8045000.0,8040000.0,7571000.0,7658000.0,8131000.0,
Interest Expense,25758000.0,27104000.0,31149000.0,36639000.0,40348000.0,
Interest Income,33803000.0,35144000.0,38720000.0,44297000.0,48479000.0,
Normalized Income,-13663977.476803,-7015000.0,-38836000.0,-31024000.0,-62282012.462541,
Net Income From Continuing And Discontinued Operation,-13363000.0,-7015000.0,-38836000.0,-31024000.0,-63068000.0,
Diluted Average Shares,48030130.0,48668667.0,49492595.0,50526492.0,50939476.0,
Basic Average Shares,48030130.0,48668667.0,49492595.0,50526492.0,50939476.0,
Diluted EPS,-0.35,-0.22,-0.86,-0.69,-1.31,
Basic EPS,-0.35,-0.22,-0.86,-0.69,-1.31,
Diluted NI Availto Com Stockholders,-16964000.0,-10615000.0,-42437000.0,-34624000.0,-66668000.0,
Net Income Common Stockholders,-16964000.0,-10615000.0,-42437000.0,-34624000.0,-66668000.0,
Preferred Stock Dividends,3601000.0,3600000.0,3601000.0,3600000.0,3600000.0,
Net Income,-13363000.0,-7015000.0,-38836000.0,-31024000.0,-63068000.0,
Net Income Including Noncontrolling Interests,-13363000.0,-7015000.0,-38836000.0,-31024000.0,-63068000.0,
Net Income Continuous Operations,-13363000.0,-7015000.0,-38836000.0,-31024000.0,-63068000.0,
Tax Provision,-1000.0,70000.0,-6000.0,-2000.0,-1000.0,
Pretax Income,-13364000.0,-6945000.0,-38842000.0,-31026000.0,-63069000.0,
Special Income Charges,0.0,,0.0,0.0,-786000.0,0.0
Selling General And Administration,5718000.0,5771000.0,3378000.0,5375000.0,4721000.0,
General And Administrative Expense,5718000.0,5771000.0,3378000.0,5375000.0,4721000.0,
Salaries And Wages,5718000.0,5771000.0,3378000.0,5375000.0,4721000.0,
Total Revenue,11282000.0,10103000.0,9473000.0,10253000.0,7844000.0,
Operating Revenue,11282000.0,10103000.0,9473000.0,10253000.0,7844000.0,
Other Non Interest Expense,7944000.0,7507000.0,7744000.0,7993000.0,4650000.0,
