,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.21,
Net Income From Continuing Operation Net Minority Interest,-195930000.0,-139916000.0,-66000.0,-134012000.0,29556000.0,
Net Interest Income,128136000.0,127889000.0,135590000.0,149386000.0,153222000.0,
Interest Expense,30304000.0,31367000.0,33208000.0,35229000.0,36080000.0,
Interest Income,158440000.0,159256000.0,168798000.0,184615000.0,189302000.0,
Normalized Income,-195930000.0,-139916000.0,-66000.0,-134012000.0,29556000.0,
Net Income From Continuing And Discontinued Operation,-195930000.0,-139916000.0,-66000.0,-134012000.0,29556000.0,
Diluted Average Shares,452738000.0,443431518.0,436687429.0,428873206.0,424846963.0,
Basic Average Shares,452738000.0,443431518.0,436687429.0,428873206.0,424846963.0,
Diluted EPS,-0.5,-0.39,-0.07,-0.38,-0.01,
Basic EPS,-0.5,-0.39,-0.07,-0.38,-0.01,
Diluted NI Availto Com Stockholders,-226369000.0,-171331000.0,-30993000.0,-165069000.0,2165000.0,
Average Dilution Earnings,0.0,0.0,,0.0,11215000.0,20377000.0
Net Income Common Stockholders,-226369000.0,-171331000.0,-30993000.0,-165069000.0,-9050000.0,
Otherunder Preferred Stock Dividend,3700000.0,4717000.0,4699000.0,3900000.0,12550000.0,
Preferred Stock Dividends,26739000.0,26698000.0,26228000.0,27157000.0,26056000.0,
Net Income,-195930000.0,-139916000.0,-66000.0,-134012000.0,29556000.0,
Net Income Including Noncontrolling Interests,-195930000.0,-139916000.0,-66000.0,-134012000.0,29556000.0,
Net Income Continuous Operations,-195930000.0,-139916000.0,-66000.0,-134012000.0,29556000.0,
Pretax Income,-195930000.0,-139916000.0,-66000.0,-134012000.0,29556000.0,
Gain On Sale Of Security,-308479000.0,-63180000.0,-46653000.0,-100370000.0,-140314000.0,
Operating Expense,15999000.0,15431000.0,14890000.0,16668000.0,14671000.0,
Other Operating Expenses,4237000.0,4140000.0,4535000.0,4283000.0,3724000.0,
Selling General And Administration,11762000.0,11291000.0,10355000.0,12385000.0,10947000.0,
General And Administrative Expense,11762000.0,11291000.0,10355000.0,12385000.0,10947000.0,
Total Revenue,-179931000.0,-124485000.0,14824000.0,-117344000.0,44227000.0,
Operating Revenue,-179931000.0,-124485000.0,14824000.0,-117344000.0,44227000.0,
