,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-32067000.0,12159000.0,969984.59168,-5229000.0,-273000.0,,
Tax Rate For Calcs,0.21,0.21,0.028197,0.21,0.21,,
Normalized EBITDA,-290000000.0,-496000000.0,-510700000.0,-280900000.0,-251900000.0,,
Total Unusual Items,-152700000.0,57900000.0,34400000.0,-24900000.0,-1300000.0,,
Total Unusual Items Excluding Goodwill,-152700000.0,57900000.0,34400000.0,-24900000.0,-1300000.0,,
Net Income From Continuing Operation Net Minority Interest,-631000000.0,-612900000.0,-630900000.0,-476900000.0,-415300000.0,,
Reconciled Depreciation,62400000.0,68800000.0,72500000.0,77300000.0,77700000.0,,
Reconciled Cost Of Revenue,1866500000.0,1982900000.0,2108700000.0,1716600000.0,1725400000.0,,
EBITDA,-442700000.0,-438100000.0,-476300000.0,-305800000.0,-253200000.0,,
EBIT,-505100000.0,-506900000.0,-548800000.0,-383100000.0,-330900000.0,,
Net Interest Income,-96600000.0,-97800000.0,-98500000.0,-89600000.0,-80000000.0,,
Interest Expense,99400000.0,99500000.0,100200000.0,90800000.0,82300000.0,,
Interest Income,2800000.0,1700000.0,1700000.0,1200000.0,2300000.0,,
Normalized Income,-510367000.0,-658641000.0,-664330015.40832,-457229000.0,-414273000.0,,
Net Income From Continuing And Discontinued Operation,-631000000.0,-612900000.0,-630900000.0,-476900000.0,-415300000.0,,
Total Expenses,1986000000.0,2089200000.0,2228700000.0,1820800000.0,1822400000.0,,
Total Operating Income As Reported,-480800000.0,-487000000.0,-577100000.0,-350100000.0,-331300000.0,,
Diluted Average Shares,117700000.0,117600000.0,117300000.0,117200000.0,116657303.0,,
Basic Average Shares,117700000.0,117600000.0,117230483.0,117174447.0,116657303.0,,
Diluted EPS,-5.36,-5.21,-5.38,-4.07,-3.56,,
Basic EPS,-5.36,-5.21,-5.38,-4.07,-3.56,,
Diluted NI Availto Com Stockholders,-631000000.0,-612900000.0,-630900000.0,-476900000.0,-415300000.0,,
Net Income Common Stockholders,-631000000.0,-612900000.0,-630900000.0,-476900000.0,-415300000.0,,
Otherunder Preferred Stock Dividend,,,,,,0.0,
Net Income,-631000000.0,-612900000.0,-630900000.0,-476900000.0,-415300000.0,,
Minority Interests,0.0,-200000.0,-200000.0,-300000.0,0.0,,
Net Income Including Noncontrolling Interests,-630800000.0,-612700000.0,-630700000.0,-476600000.0,-415100000.0,,
Net Income Continuous Operations,-630800000.0,-612700000.0,-630700000.0,-476600000.0,-415100000.0,,
Earnings From Equity Interest Net Of Tax,0.0,-300000.0,0.0,100000.0,200000.0,,
Tax Provision,26300000.0,6000000.0,-18300000.0,2800000.0,2100000.0,,
Pretax Income,-604500000.0,-606400000.0,-649000000.0,-473900000.0,-413200000.0,,
Other Income Expense,-157000000.0,58800000.0,26900000.0,-34100000.0,-2700000.0,,
Other Non Operating Income Expenses,-4300000.0,900000.0,-7500000.0,-9200000.0,-1400000.0,,
Special Income Charges,-129900000.0,80400000.0,0.0,100000.0,-800000.0,,
Gain On Sale Of Business,-129900000.0,80400000.0,,,0.0,0.0,
Restructuring And Mergern Acquisition,0.0,,0.0,-100000.0,800000.0,0.0,
Gain On Sale Of Security,-22800000.0,-22500000.0,34400000.0,-25000000.0,-500000.0,,
Net Non Operating Interest Income Expense,-96600000.0,-97800000.0,-98500000.0,-89600000.0,-80000000.0,,
Interest Expense Non Operating,99400000.0,99500000.0,100200000.0,90800000.0,82300000.0,,
Interest Income Non Operating,2800000.0,1700000.0,1700000.0,1200000.0,2300000.0,,
Operating Income,-350900000.0,-567400000.0,-577400000.0,-350200000.0,-330500000.0,,
Operating Expense,119500000.0,106300000.0,120000000.0,104200000.0,97000000.0,,
Other Operating Expenses,,,,,,,200000.0
Other Taxes,,,300000.0,0.0,0.0,0.0,1800000.0
Research And Development,12200000.0,14500000.0,13100000.0,10400000.0,13400000.0,,
Selling General And Administration,107300000.0,91800000.0,106600000.0,93800000.0,83600000.0,,
Gross Profit,-231400000.0,-461100000.0,-457400000.0,-246000000.0,-233500000.0,,
Cost Of Revenue,1866500000.0,1982900000.0,2108700000.0,1716600000.0,1725400000.0,,
Total Revenue,1635100000.0,1521800000.0,1651300000.0,1470600000.0,1491900000.0,,
Operating Revenue,1635100000.0,1521800000.0,1651300000.0,1470600000.0,1491900000.0,,
