,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,-1318493.150685,0.0,0.0,,
Tax Rate For Calcs,0.193012,0.206,0.131849,0.19,0.187576,,
Normalized EBITDA,923000000.0,946000000.0,953000000.0,1222000000.0,1131000000.0,,
Total Unusual Items,,,-10000000.0,0.0,0.0,0.0,0.0
Total Unusual Items Excluding Goodwill,,,-10000000.0,0.0,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,445000000.0,490000000.0,495000000.0,718000000.0,658000000.0,,
Reconciled Depreciation,207000000.0,209000000.0,259000000.0,218000000.0,213000000.0,,
Reconciled Cost Of Revenue,1182000000.0,1093000000.0,1202000000.0,1195000000.0,1150000000.0,,
EBITDA,923000000.0,946000000.0,943000000.0,1222000000.0,1131000000.0,,
EBIT,716000000.0,737000000.0,684000000.0,1004000000.0,918000000.0,,
Net Interest Income,-86000000.0,-92000000.0,-91000000.0,-82000000.0,-75000000.0,,
Interest Expense,115000000.0,106000000.0,100000000.0,96000000.0,97000000.0,,
Interest Income,39000000.0,35000000.0,35000000.0,36000000.0,39000000.0,,
Normalized Income,445000000.0,490000000.0,503681506.849315,718000000.0,658000000.0,,
Net Income From Continuing And Discontinued Operation,445000000.0,490000000.0,495000000.0,718000000.0,658000000.0,,
Total Expenses,2240000000.0,2130000000.0,2396000000.0,2255000000.0,2227000000.0,,
Total Operating Income As Reported,687000000.0,723000000.0,675000000.0,990000000.0,896000000.0,,
Diluted Average Shares,253844000.0,255018000.0,256628000.0,257717000.0,258732000.0,,
Basic Average Shares,252418000.0,253709000.0,254349000.0,254458000.0,255478000.0,,
Diluted EPS,1.75,1.92,1.93,2.79,2.54,,
Basic EPS,1.76,1.93,1.95,2.82,2.58,,
Diluted NI Availto Com Stockholders,445000000.0,490000000.0,495000000.0,718000000.0,658000000.0,,
Net Income Common Stockholders,445000000.0,490000000.0,495000000.0,718000000.0,658000000.0,,
Net Income,445000000.0,490000000.0,495000000.0,718000000.0,658000000.0,,
Minority Interests,-12000000.0,-7000000.0,-10000000.0,-11000000.0,-6000000.0,,
Net Income Including Noncontrolling Interests,457000000.0,497000000.0,505000000.0,729000000.0,664000000.0,,
Net Income Continuous Operations,457000000.0,497000000.0,505000000.0,729000000.0,664000000.0,,
Earnings From Equity Interest Net Of Tax,-28000000.0,-4000000.0,-2000000.0,-6000000.0,-3000000.0,,
Tax Provision,116000000.0,130000000.0,77000000.0,173000000.0,154000000.0,,
Pretax Income,601000000.0,631000000.0,584000000.0,908000000.0,821000000.0,,
Other Income Expense,1000000.0,18000000.0,-40000000.0,-5000000.0,-4000000.0,,
Other Non Operating Income Expenses,1000000.0,18000000.0,-30000000.0,-5000000.0,-4000000.0,,
Special Income Charges,,,-10000000.0,0.0,0.0,0.0,0.0
Net Non Operating Interest Income Expense,-86000000.0,-92000000.0,-91000000.0,-82000000.0,-75000000.0,,
Total Other Finance Cost,10000000.0,21000000.0,26000000.0,22000000.0,17000000.0,,
Interest Expense Non Operating,115000000.0,106000000.0,100000000.0,96000000.0,97000000.0,,
Interest Income Non Operating,39000000.0,35000000.0,35000000.0,36000000.0,39000000.0,,
Operating Income,686000000.0,705000000.0,715000000.0,995000000.0,900000000.0,,
Operating Expense,876000000.0,855000000.0,963000000.0,871000000.0,892000000.0,,
Depreciation Amortization Depletion Income Statement,25000000.0,27000000.0,28000000.0,29000000.0,28000000.0,,
Depreciation And Amortization In Income Statement,25000000.0,27000000.0,28000000.0,29000000.0,28000000.0,,
Amortization,25000000.0,27000000.0,28000000.0,29000000.0,28000000.0,,
Amortization Of Intangibles Income Statement,25000000.0,27000000.0,28000000.0,29000000.0,28000000.0,,
Research And Development,573000000.0,547000000.0,612000000.0,577000000.0,594000000.0,,
Selling General And Administration,278000000.0,281000000.0,323000000.0,265000000.0,270000000.0,,
Gross Profit,1562000000.0,1560000000.0,1678000000.0,1866000000.0,1792000000.0,,
Cost Of Revenue,1364000000.0,1275000000.0,1433000000.0,1384000000.0,1335000000.0,,
Total Revenue,2926000000.0,2835000000.0,3111000000.0,3250000000.0,3127000000.0,,
Operating Revenue,2893000000.0,2808000000.0,3204000000.0,3218000000.0,3098000000.0,,
