,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.21,0.21,0.21,0.21
Normalized EBITDA,-38711000.0,-27594000.0,-20820000.0,-33961000.0,-29578000.0
Net Income From Continuing Operation Net Minority Interest,-26324000.0,-16220000.0,-15247000.0,-28579000.0,-24258000.0
Reconciled Depreciation,138000.0,129000.0,132000.0,136000.0,135000.0
Reconciled Cost Of Revenue,15304000.0,11354000.0,9900000.0,10702000.0,9129000.0
EBITDA,-38711000.0,-27594000.0,-20820000.0,-33961000.0,-29578000.0
EBIT,-38849000.0,-27723000.0,-20952000.0,-34097000.0,-29713000.0
Net Interest Income,12899000.0,11560000.0,6064000.0,5966000.0,5498000.0
Interest Income,12899000.0,11560000.0,6064000.0,5966000.0,5498000.0
Normalized Income,-26324000.0,-16220000.0,-15247000.0,-28579000.0,-24258000.0
Net Income From Continuing And Discontinued Operation,-26324000.0,-16220000.0,-15247000.0,-28579000.0,-24258000.0
Total Expenses,214008000.0,188999000.0,165795000.0,165603000.0,155523000.0
Total Operating Income As Reported,-38849000.0,-27723000.0,-20952000.0,-34097000.0,-29713000.0
Diluted Average Shares,105768386.0,103723007.0,96875275.0,96285558.0,96143083.0
Basic Average Shares,105768386.0,103723007.0,96875275.0,96285558.0,96143083.0
Diluted EPS,-0.25,-0.16,-0.16,-0.3,-0.25
Basic EPS,-0.25,-0.16,-0.16,-0.3,-0.25
Diluted NI Availto Com Stockholders,-26324000.0,-16220000.0,-15247000.0,-28579000.0,-24258000.0
Net Income Common Stockholders,-26324000.0,-16220000.0,-15247000.0,-28579000.0,-24258000.0
Net Income,-26324000.0,-16220000.0,-15247000.0,-28579000.0,-24258000.0
Net Income Including Noncontrolling Interests,-26324000.0,-16220000.0,-15247000.0,-28579000.0,-24258000.0
Net Income Continuous Operations,-26324000.0,-16220000.0,-15247000.0,-28579000.0,-24258000.0
Tax Provision,374000.0,57000.0,359000.0,448000.0,43000.0
Pretax Income,-25950000.0,-16163000.0,-14888000.0,-28131000.0,-24215000.0
Net Non Operating Interest Income Expense,12899000.0,11560000.0,6064000.0,5966000.0,5498000.0
Interest Income Non Operating,12899000.0,11560000.0,6064000.0,5966000.0,5498000.0
Operating Income,-38849000.0,-27723000.0,-20952000.0,-34097000.0,-29713000.0
Operating Expense,198704000.0,177645000.0,155895000.0,154901000.0,146394000.0
Other Operating Expenses,-216000.0,-112000.0,-23000.0,-593000.0,-363000.0
Research And Development,66819000.0,56183000.0,42833000.0,50774000.0,41550000.0
Selling General And Administration,132101000.0,121574000.0,113085000.0,104720000.0,105207000.0
Gross Profit,159855000.0,149922000.0,134943000.0,120804000.0,116681000.0
Cost Of Revenue,15304000.0,11354000.0,9900000.0,10702000.0,9129000.0
Total Revenue,175159000.0,161276000.0,144843000.0,131506000.0,125810000.0
Operating Revenue,175159000.0,161276000.0,144843000.0,131506000.0,125810000.0
