,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.03,0.112356,0.15795,0.03037,
Normalized EBITDA,1804000.0,-3380000.0,7656000.0,4471000.0,-1586000.0,
Net Income From Continuing Operation Net Minority Interest,164000.0,-3619000.0,6494000.0,3236000.0,-2203000.0,
Reconciled Depreciation,360000.0,346000.0,334000.0,329000.0,319000.0,
Reconciled Cost Of Revenue,5870000.0,8180000.0,3886000.0,8375000.0,9456000.0,
EBITDA,1804000.0,-3380000.0,7656000.0,4471000.0,-1586000.0,
EBIT,1444000.0,-3726000.0,7322000.0,4142000.0,-1905000.0,
Net Interest Income,-511000.0,413000.0,107000.0,-148000.0,155000.0,
Interest Expense,783000.0,6000.0,6000.0,299000.0,367000.0,
Interest Income,272000.0,419000.0,113000.0,151000.0,522000.0,
Normalized Income,164000.0,-3619000.0,6494000.0,3236000.0,-2203000.0,
Net Income From Continuing And Discontinued Operation,164000.0,-3619000.0,6494000.0,3236000.0,-2203000.0,
Total Expenses,14486000.0,14258000.0,11009000.0,13968000.0,15901000.0,
Total Operating Income As Reported,1172000.0,-4145000.0,7209000.0,3991000.0,-2427000.0,
Diluted Average Shares,81271610.0,76611980.0,,81217068.0,73308281.0,73036569.0
Basic Average Shares,78663884.0,76611980.0,,73549745.0,73308281.0,73036569.0
Diluted EPS,0.0,-0.05,,0.03,-0.03,-0.06
Basic EPS,0.0,-0.05,,0.04,-0.03,-0.06
Diluted NI Availto Com Stockholders,164000.0,-3619000.0,6494000.0,3236000.0,-2203000.0,
Net Income Common Stockholders,164000.0,-3619000.0,6494000.0,3236000.0,-2203000.0,
Net Income,164000.0,-3619000.0,6494000.0,3236000.0,-2203000.0,
Net Income Including Noncontrolling Interests,164000.0,-3619000.0,6494000.0,3236000.0,-2203000.0,
Net Income Continuous Operations,164000.0,-3619000.0,6494000.0,3236000.0,-2203000.0,
Tax Provision,497000.0,-113000.0,822000.0,607000.0,-69000.0,
Pretax Income,661000.0,-3732000.0,7316000.0,3843000.0,-2272000.0,
Net Non Operating Interest Income Expense,-511000.0,413000.0,107000.0,-148000.0,155000.0,
Interest Expense Non Operating,783000.0,6000.0,6000.0,299000.0,367000.0,
Interest Income Non Operating,272000.0,419000.0,113000.0,151000.0,522000.0,
Operating Income,1172000.0,-4145000.0,7209000.0,3991000.0,-2427000.0,
Operating Expense,8616000.0,6078000.0,7123000.0,5593000.0,6445000.0,
Research And Development,5992000.0,3475000.0,4124000.0,2998000.0,2961000.0,
Selling General And Administration,2624000.0,2603000.0,2999000.0,2595000.0,3484000.0,
Gross Profit,9788000.0,1933000.0,14332000.0,9584000.0,4018000.0,
Cost Of Revenue,5870000.0,8180000.0,3886000.0,8375000.0,9456000.0,
Total Revenue,15658000.0,10113000.0,18218000.0,17959000.0,13474000.0,
Operating Revenue,15658000.0,10113000.0,18218000.0,17959000.0,13474000.0,
