,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,,0.0,0.0,0.0
Tax Rate For Calcs,0.191062,0.185,,0.202858,0.20703,0.194
Net Income From Continuing Operation Net Minority Interest,13118000.0,14150000.0,,11719000.0,12655000.0,14174000.0
Reconciled Depreciation,1788000.0,2026000.0,,2038000.0,2033000.0,1998000.0
Net Interest Income,40211000.0,39269000.0,,39169000.0,39280000.0,40137000.0
Interest Expense,9117000.0,9497000.0,,7013000.0,6473000.0,5068000.0
Interest Income,49328000.0,48766000.0,,46182000.0,45753000.0,45205000.0
Normalized Income,13118000.0,14150000.0,,11719000.0,12655000.0,14174000.0
Net Income From Continuing And Discontinued Operation,13118000.0,14150000.0,,11719000.0,12655000.0,14174000.0
Diluted Average Shares,16979000.0,16960000.0,16969000.0,,17025000.0,17035000.0
Basic Average Shares,16943000.0,16931000.0,16951000.0,,16985000.0,17002000.0
Diluted EPS,0.77,0.83,0.74,,0.74,0.83
Basic EPS,0.77,0.84,0.74,,0.75,0.83
Diluted NI Availto Com Stockholders,13118000.0,14150000.0,,11719000.0,12655000.0,14174000.0
Net Income Common Stockholders,13118000.0,14150000.0,,11719000.0,12655000.0,14174000.0
Net Income,13118000.0,14150000.0,,11719000.0,12655000.0,14174000.0
Minority Interests,501000.0,109000.0,,284000.0,1149000.0,-31000.0
Net Income Including Noncontrolling Interests,12617000.0,14041000.0,,11435000.0,11506000.0,14205000.0
Net Income Continuous Operations,12617000.0,14041000.0,,11435000.0,11506000.0,14205000.0
Tax Provision,2980000.0,3189000.0,,2910000.0,3004000.0,3417000.0
Pretax Income,15597000.0,17230000.0,,14345000.0,14510000.0,17622000.0
Selling General And Administration,26772000.0,25587000.0,,25326000.0,24494000.0,24984000.0
Selling And Marketing Expense,654000.0,851000.0,,759000.0,756000.0,959000.0
General And Administrative Expense,26118000.0,24736000.0,,24567000.0,23738000.0,24025000.0
Insurance And Claims,737000.0,749000.0,,714000.0,703000.0,872000.0
Salaries And Wages,25381000.0,23987000.0,,23853000.0,23035000.0,23153000.0
Total Revenue,57464000.0,56937000.0,,54831000.0,54134000.0,58232000.0
Operating Revenue,57464000.0,56937000.0,,54831000.0,54134000.0,58232000.0
Occupancy And Equipment,7098000.0,6997000.0,,7098000.0,6980000.0,6820000.0
Professional Expense And Contract Services Expense,2276000.0,1770000.0,,2202000.0,1620000.0,2458000.0
Other Non Interest Expense,4515000.0,4149000.0,,3835000.0,4137000.0,4151000.0
