quarter,epsActual,epsEstimate,epsDifference,surprisePercent
2024-06-30,-0.1356,-0.1,-0.04,-0.35599998
2024-03-31,-0.19,-0.12,-0.07,-0.5833
2023-12-31,-0.1627,-0.11,-0.05,-0.4791
2023-09-30,0.055,-0.13,0.19,1.4231
