,2025-06-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.21,0.0
Net Income From Continuing Operation Net Minority Interest,61642427.0,-94288114.0
Net Interest Income,38799429.0,42819840.0
Interest Expense,6909674.0,6909607.0
Interest Income,45709103.0,49729447.0
Normalized Income,61642427.0,-94288114.0
Net Income From Continuing And Discontinued Operation,61642427.0,-94288114.0
Diluted Average Shares,120183480.0,97780562.0
Basic Average Shares,120183480.0,97780562.0
Diluted EPS,0.478635,-0.997446
Basic EPS,0.478635,-0.997446
Diluted NI Availto Com Stockholders,57524062.0,-97530824.0
Net Income Common Stockholders,57524062.0,-97530824.0
Preferred Stock Dividends,4118365.0,3242710.0
Net Income,61642427.0,-94288114.0
Net Income Including Noncontrolling Interests,61642427.0,-94288114.0
Net Income Continuous Operations,61642427.0,-94288114.0
Pretax Income,61642427.0,-94288114.0
Gain On Sale Of Security,-20477811.0,-12141687.0
Operating Expense,2288964.0,1014766.0
Other Operating Expenses,25012.0,25013.0
Selling General And Administration,2263952.0,989753.0
General And Administrative Expense,2263952.0,989753.0
Total Revenue,63931391.0,-93273348.0
Operating Revenue,63931391.0,-93273348.0
