,2025-05-31,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29
Tax Effect Of Unusual Items,-617680.0,-2058840.0,-4509120.0,-731000.0,-1035200.0,
Tax Rate For Calcs,0.14,0.18,0.21,0.17,0.2,
Normalized EBITDA,80963000.0,81369000.0,72021000.0,67447000.0,58852000.0,
Total Unusual Items,-4412000.0,-11438000.0,-21472000.0,-4300000.0,-5176000.0,
Total Unusual Items Excluding Goodwill,-4412000.0,-11438000.0,-21472000.0,-4300000.0,-5176000.0,
Net Income From Continuing Operation Net Minority Interest,17029000.0,10946000.0,1147000.0,28464000.0,16188000.0,
Reconciled Depreciation,38549000.0,38200000.0,27403000.0,22103000.0,26541000.0,
Reconciled Cost Of Revenue,34802000.0,33839000.0,26910000.0,20771000.0,21846000.0,
EBITDA,76551000.0,69931000.0,50549000.0,63147000.0,53676000.0,
EBIT,38002000.0,31731000.0,23146000.0,41044000.0,27135000.0,
Net Interest Income,-17844000.0,-17942000.0,-9610000.0,-4869000.0,-6079000.0,
Interest Expense,18138000.0,18429000.0,10896000.0,6765000.0,7007000.0,
Interest Income,294000.0,487000.0,1286000.0,1896000.0,928000.0,
Normalized Income,20823320.0,20325160.0,18109880.0,32033000.0,20328800.0,
Net Income From Continuing And Discontinued Operation,17029000.0,10946000.0,1147000.0,28464000.0,16188000.0,
Total Expenses,195235000.0,195333000.0,171629000.0,135238000.0,143694000.0,
Total Operating Income As Reported,38616000.0,32426000.0,21500000.0,40349000.0,27148000.0,
Diluted Average Shares,,44887000.0,45208000.0,43711000.0,43964000.0,44826000.0
Basic Average Shares,,43256000.0,43183000.0,42872000.0,43213000.0,43802000.0
Diluted EPS,,0.24,0.03,0.65,0.37,0.51
Basic EPS,,0.25,0.03,0.66,0.37,0.52
Diluted NI Availto Com Stockholders,17029000.0,10946000.0,1147000.0,28464000.0,16188000.0,
Net Income Common Stockholders,17029000.0,10946000.0,1147000.0,28464000.0,16188000.0,
Net Income,17029000.0,10946000.0,1147000.0,28464000.0,16188000.0,
Net Income Including Noncontrolling Interests,17029000.0,10946000.0,1147000.0,28464000.0,16188000.0,
Net Income Continuous Operations,17029000.0,10946000.0,1147000.0,28464000.0,16188000.0,
Tax Provision,2835000.0,2356000.0,11103000.0,5815000.0,3940000.0,
Pretax Income,19864000.0,13302000.0,12250000.0,34279000.0,20128000.0,
Other Income Expense,-4412000.0,-11438000.0,-21472000.0,-4300000.0,-5176000.0,
Special Income Charges,-3504000.0,-10256000.0,-21832000.0,-3099000.0,-4235000.0,
Other Special Charges,730000.0,737000.0,691000.0,927000.0,3036000.0,
Restructuring And Mergern Acquisition,2774000.0,9519000.0,21141000.0,2172000.0,1199000.0,
Gain On Sale Of Security,-908000.0,-1182000.0,360000.0,-1201000.0,-941000.0,
Net Non Operating Interest Income Expense,-17844000.0,-17942000.0,-9610000.0,-4869000.0,-6079000.0,
Interest Expense Non Operating,18138000.0,18429000.0,10896000.0,6765000.0,7007000.0,
Interest Income Non Operating,294000.0,487000.0,1286000.0,1896000.0,928000.0,
Operating Income,42120000.0,42682000.0,43332000.0,43448000.0,31383000.0,
Operating Expense,147947000.0,149102000.0,135091000.0,106174000.0,111623000.0,
Depreciation Amortization Depletion Income Statement,26063000.0,25808000.0,17775000.0,13810000.0,16316000.0,
Depreciation And Amortization In Income Statement,26063000.0,25808000.0,17775000.0,13810000.0,16316000.0,
Amortization,26063000.0,25808000.0,17775000.0,13810000.0,16316000.0,
Amortization Of Intangibles Income Statement,26063000.0,25808000.0,17775000.0,13810000.0,16316000.0,
Research And Development,46570000.0,46375000.0,41199000.0,34720000.0,35435000.0,
Selling General And Administration,75314000.0,76919000.0,76117000.0,57644000.0,59872000.0,
Selling And Marketing Expense,8191000.0,7478000.0,7058000.0,4367000.0,4648000.0,
General And Administrative Expense,67123000.0,69441000.0,69059000.0,53277000.0,55224000.0,
Other Gand A,5096000.0,6783000.0,5629000.0,3578000.0,4020000.0,
Salaries And Wages,62027000.0,62658000.0,63430000.0,49699000.0,51204000.0,
Gross Profit,190067000.0,191784000.0,178423000.0,149622000.0,143006000.0,
Cost Of Revenue,47288000.0,46231000.0,36538000.0,29064000.0,32071000.0,
Total Revenue,237355000.0,238015000.0,214961000.0,178686000.0,175077000.0,
Operating Revenue,237355000.0,238015000.0,214961000.0,178686000.0,175077000.0,
