,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.21,0.21,
Net Income From Continuing Operation Net Minority Interest,52993000.0,50122000.0,51268000.0,46385000.0,45753000.0,
Reconciled Depreciation,893000.0,841000.0,818000.0,822000.0,796000.0,
Net Interest Income,66630000.0,62759000.0,62885000.0,65565000.0,60540000.0,
Interest Expense,132052000.0,132614000.0,130687000.0,128381000.0,121893000.0,
Interest Income,198682000.0,195373000.0,193572000.0,193946000.0,182433000.0,
Normalized Income,52993000.0,50122000.0,51268000.0,46385000.0,45753000.0,
Net Income From Continuing And Discontinued Operation,52993000.0,50122000.0,51268000.0,46385000.0,45753000.0,
Diluted Average Shares,,36775000.0,36609000.0,36540000.0,36531000.0,36492000.0
Basic Average Shares,,36775000.0,36609000.0,36540000.0,36531000.0,36492000.0
Diluted EPS,,1.36,1.4,1.27,1.25,1.02
Basic EPS,,1.36,1.4,1.27,1.25,1.02
Diluted NI Availto Com Stockholders,52993000.0,50122000.0,51268000.0,46385000.0,45753000.0,
Net Income Common Stockholders,52993000.0,50122000.0,51268000.0,46385000.0,45753000.0,
Net Income,52993000.0,50122000.0,51268000.0,46385000.0,45753000.0,
Net Income Including Noncontrolling Interests,52993000.0,50122000.0,51268000.0,46385000.0,45753000.0,
Net Income Continuous Operations,52993000.0,50122000.0,51268000.0,46385000.0,45753000.0,
Pretax Income,52993000.0,50122000.0,51268000.0,46385000.0,45753000.0,
Gain On Sale Of Security,328000.0,-351000.0,160000.0,-25597000.0,22000.0,
Depreciation Amortization Depletion Income Statement,893000.0,841000.0,818000.0,822000.0,795000.0,
Depreciation And Amortization In Income Statement,893000.0,841000.0,818000.0,822000.0,795000.0,
Amortization,279000.0,250000.0,224000.0,220000.0,217000.0,
Amortization Of Intangibles Income Statement,279000.0,250000.0,224000.0,220000.0,217000.0,
Depreciation Income Statement,614000.0,591000.0,594000.0,602000.0,578000.0,
Selling General And Administration,14177000.0,11761000.0,11670000.0,26980000.0,14183000.0,
General And Administrative Expense,14177000.0,11761000.0,11670000.0,25968000.0,14183000.0,
Salaries And Wages,14177000.0,11761000.0,11670000.0,14381000.0,14183000.0,
Total Revenue,77583000.0,75040000.0,72588000.0,49003000.0,71777000.0,
Operating Revenue,77583000.0,75040000.0,72588000.0,49003000.0,71777000.0,
Other Non Interest Expense,5972000.0,5632000.0,5803000.0,-13196000.0,4558000.0,
