,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.016,0.21,0.018,0.014793
Normalized EBITDA,-101836000.0,-110156000.0,-74889000.0,-77919000.0,-91050000.0
Net Income From Continuing Operation Net Minority Interest,-111658000.0,-116163000.0,-78559000.0,-83541000.0,-97101000.0
Reconciled Depreciation,11938000.0,11065000.0,11687000.0,11148000.0,10864000.0
Reconciled Cost Of Revenue,56664000.0,49741000.0,45543000.0,39823000.0,31368000.0
EBITDA,-101836000.0,-110156000.0,-74889000.0,-77919000.0,-91050000.0
EBIT,-113774000.0,-121221000.0,-86576000.0,-89067000.0,-101914000.0
Net Interest Income,4104000.0,3220000.0,9575000.0,4005000.0,3355000.0
Interest Income,4104000.0,3220000.0,9575000.0,4005000.0,3355000.0
Normalized Income,-111658000.0,-116163000.0,-78559000.0,-83541000.0,-97101000.0
Net Income From Continuing And Discontinued Operation,-111658000.0,-116163000.0,-78559000.0,-83541000.0,-97101000.0
Total Expenses,173726000.0,170545000.0,160270000.0,147621000.0,133020000.0
Total Operating Income As Reported,-113774000.0,-121221000.0,-86576000.0,-89066000.0,-101914000.0
Diluted Average Shares,334511000.0,322868000.0,304890000.0,303269000.0,284817000.0
Basic Average Shares,334511000.0,322868000.0,304890000.0,303269000.0,284817000.0
Diluted EPS,-0.33,-0.36,-0.26,-0.28,-0.34
Basic EPS,-0.33,-0.36,-0.26,-0.28,-0.34
Diluted NI Availto Com Stockholders,-111658000.0,-116163000.0,-78559000.0,-83541000.0,-97101000.0
Net Income Common Stockholders,-111658000.0,-116163000.0,-78559000.0,-83541000.0,-97101000.0
Net Income,-111658000.0,-116163000.0,-78559000.0,-83541000.0,-97101000.0
Net Income Including Noncontrolling Interests,-111658000.0,-116163000.0,-78559000.0,-83541000.0,-97101000.0
Net Income Continuous Operations,-111658000.0,-116163000.0,-78559000.0,-83541000.0,-97101000.0
Tax Provision,1988000.0,-1838000.0,1558000.0,-1520000.0,-1458000.0
Pretax Income,-109670000.0,-118001000.0,-77001000.0,-85061000.0,-98559000.0
Net Non Operating Interest Income Expense,4104000.0,3220000.0,9575000.0,4005000.0,3355000.0
Interest Income Non Operating,4104000.0,3220000.0,9575000.0,4005000.0,3355000.0
Operating Income,-113774000.0,-121221000.0,-86576000.0,-89067000.0,-101914000.0
Operating Expense,117062000.0,120804000.0,114727000.0,107798000.0,101652000.0
Research And Development,79363000.0,76879000.0,72224000.0,68245000.0,62084000.0
Selling General And Administration,37699000.0,43925000.0,42503000.0,39553000.0,39568000.0
Gross Profit,3288000.0,-417000.0,28151000.0,18731000.0,-262000.0
Cost Of Revenue,56664000.0,49741000.0,45543000.0,39823000.0,31368000.0
Total Revenue,59952000.0,49324000.0,73694000.0,58554000.0,31106000.0
Operating Revenue,60866000.0,49653000.0,70878000.0,59840000.0,32633000.0
