,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.196695,0.173695,0.175163,0.176822,0.181142,
Normalized EBITDA,543226000000.0,309793000000.0,377700000000.0,336151000000.0,444314000000.0,
Total Unusual Items,,,,,-7078000000.0,
Total Unusual Items Excluding Goodwill,,,,,-7078000000.0,
Net Income From Continuing Operation Net Minority Interest,257327000000.0,252056000000.0,311896000000.0,269693000000.0,238551000000.0,
Reconciled Depreciation,2983000000.0,2341000000.0,,,942000000.0,980000000.0
Reconciled Cost Of Revenue,287147000000.0,391830000000.0,264382000000.0,243395000000.0,79698000000.0,
EBITDA,543226000000.0,309793000000.0,377700000000.0,336151000000.0,444314000000.0,
EBIT,540243000000.0,307452000000.0,377700000000.0,336151000000.0,443372000000.0,
Net Interest Income,-218287000000.0,,,,-147085000000.0,
Interest Expense,218287000000.0,,,,147085000000.0,
Normalized Income,257327000000.0,252056000000.0,311896000000.0,269693000000.0,238551000000.0,
Net Income From Continuing And Discontinued Operation,257327000000.0,252056000000.0,311896000000.0,269693000000.0,238551000000.0,
Total Expenses,427258000000.0,514399000000.0,346759000000.0,316441000000.0,155865000000.0,
Rent Expense Supplemental,1489000000.0,3943000000.0,,,620000000.0,1764000000.0
Diluted Average Shares,191606106.0,190843204.0,190015729.0,191407381.0,191453451.0,
Basic Average Shares,190895401.0,190015729.0,190015729.0,190058492.0,189929140.0,
Diluted EPS,1343.0,1321.0,1665.130575,1409.0,1246.0,
Basic EPS,1348.0,1327.0,1665.130575,1419.0,1256.0,
Diluted NI Availto Com Stockholders,257327000000.0,252056000000.0,311896000000.0,269693000000.0,238551000000.0,
Net Income Common Stockholders,257327000000.0,252056000000.0,311896000000.0,269693000000.0,238551000000.0,
Net Income,257327000000.0,252056000000.0,311896000000.0,269693000000.0,238551000000.0,
Minority Interests,-1302000000.0,-1993000000.0,-4505000000.0,-4683000000.0,-4066000000.0,
Net Income Including Noncontrolling Interests,258629000000.0,254049000000.0,316401000000.0,274376000000.0,242617000000.0,
Net Income Continuous Operations,258629000000.0,254049000000.0,316401000000.0,274376000000.0,242617000000.0,
Tax Provision,63327000000.0,53403000000.0,67191000000.0,58937000000.0,53670000000.0,
Pretax Income,321956000000.0,307452000000.0,383592000000.0,333313000000.0,296287000000.0,
Other Income Expense,-2011000000.0,5803000000.0,5892000000.0,-2838000000.0,6384000000.0,
Other Non Operating Income Expenses,-2011000000.0,5803000000.0,5892000000.0,-2838000000.0,6384000000.0,
Special Income Charges,,,,,-7078000000.0,
Restructuring And Mergern Acquisition,,,,,7078000000.0,
Net Non Operating Interest Income Expense,-218287000000.0,,,,-147085000000.0,
Interest Expense Non Operating,218287000000.0,,,,147085000000.0,
Operating Income,542254000000.0,307452000000.0,377700000000.0,336151000000.0,436988000000.0,
Operating Expense,140111000000.0,122569000000.0,82377000000.0,73046000000.0,76167000000.0,
Other Operating Expenses,41937000000.0,40491000000.0,29663000000.0,27564000000.0,31677000000.0,
Depreciation Amortization Depletion Income Statement,2983000000.0,2341000000.0,,,942000000.0,980000000.0
Depreciation And Amortization In Income Statement,2983000000.0,2341000000.0,,,942000000.0,980000000.0
Research And Development,50889000000.0,42897000000.0,29341000000.0,27538000000.0,26244000000.0,
Selling General And Administration,44302000000.0,36840000000.0,23373000000.0,17944000000.0,17304000000.0,
Selling And Marketing Expense,27918000000.0,20709000000.0,12932000000.0,10651000000.0,9739000000.0,
General And Administrative Expense,16384000000.0,16131000000.0,10441000000.0,7293000000.0,7565000000.0,
Other Gand A,5469000000.0,5525000000.0,10441000000.0,7293000000.0,2079000000.0,
Rent And Landing Fees,1104000000.0,602000000.0,,,304000000.0,281000000.0
Salaries And Wages,9811000000.0,10004000000.0,,,5182000000.0,4729000000.0
Gross Profit,682365000000.0,430021000000.0,460077000000.0,409197000000.0,513155000000.0,
Cost Of Revenue,287147000000.0,391830000000.0,264382000000.0,243395000000.0,79698000000.0,
Total Revenue,969512000000.0,821851000000.0,724459000000.0,652592000000.0,592853000000.0,
Operating Revenue,969512000000.0,816048000000.0,724459000000.0,652592000000.0,592853000000.0,
