quarter,epsActual,epsEstimate,epsDifference,surprisePercent
2025-06-30,-0.07,-0.71728,0.65,0.90239996
2025-03-31,-21.08,-0.04899,-21.03,-429.2919
2024-12-31,-0.71,-0.89961,0.19,0.21079999
2024-09-30,-2.08,-2.1134,0.03,0.015800001
