GradeDate,Firm,ToGrade,FromGrade,Action
2024-08-08 16:54:03,Stephens & Co.,Overweight,Overweight,main
2024-08-08 12:13:01,Oppenheimer,Outperform,Outperform,main
2024-07-15 14:12:15,Truist Securities,Hold,Hold,main
2024-06-20 15:11:31,Stephens & Co.,Overweight,Overweight,reit
2024-05-15 13:52:34,Truist Securities,Hold,Hold,main
2024-05-09 16:35:28,RBC Capital,Outperform,Outperform,main
2024-05-07 14:02:58,Stephens & Co.,Overweight,Overweight,reit
2024-03-01 16:18:30,Oppenheimer,Outperform,Outperform,main
2024-03-01 13:37:14,Truist Securities,Hold,Hold,main
2024-01-17 16:14:39,Oppenheimer,Outperform,Outperform,main
2024-01-10 16:11:10,Stephens & Co.,Overweight,Overweight,reit
2024-01-05 13:12:40,Stephens & Co.,Overweight,Equal-Weight,up
2023-11-09 21:41:45,Truist Securities,Hold,Hold,main
2023-10-10 14:11:49,Stephens & Co.,Equal-Weight,Equal-Weight,reit
2023-09-21 15:38:56,Stephens & Co.,Equal-Weight,Equal-Weight,reit
2023-09-12 12:36:47,Stephens & Co.,Equal-Weight,Equal-Weight,reit
2023-07-12 12:21:08,Stephens & Co.,Equal-Weight,Equal-Weight,reit
2023-06-09 13:54:30,Stephens & Co.,Equal-Weight,Equal-Weight,reit
2023-05-23 11:44:22,Stephens & Co.,Equal-Weight,Equal-Weight,reit
2023-05-09 14:54:02,Oppenheimer,Outperform,,main
2023-05-09 14:24:07,RBC Capital,Outperform,,main
2023-05-08 13:03:05,Truist Securities,Hold,,main
2023-02-27 13:15:13,Truist Securities,Hold,,main
2023-02-27 09:49:51,Stifel,Buy,Hold,up
2022-11-09 15:25:23,Stephens & Co.,Equal-Weight,,main
2022-11-09 13:54:11,RBC Capital,Outperform,,main
2022-08-25 12:00:23,Oppenheimer,Outperform,,init
2022-08-10 14:25:43,Truist Securities,Hold,,main
2022-07-14 12:00:52,Truist Securities,Hold,,main
2022-06-22 12:01:05,Stifel,Hold,,main
2022-06-21 11:03:21,Stephens & Co.,Equal-Weight,Overweight,down
2022-05-11 14:19:53,Stephens & Co.,Overweight,,main
2022-05-11 12:26:17,RBC Capital,Outperform,,main
2022-03-10 12:12:24,RBC Capital,Outperform,,main
2022-03-02 12:15:35,Stephens & Co.,Overweight,,main
2022-03-01 13:21:31,Stifel,Hold,Buy,down
2021-11-10 14:00:14,RBC Capital,Outperform,,main
2021-09-21 09:15:36,Stifel,Buy,,init
2021-06-10 10:47:38,RBC Capital,Outperform,Market Perform,up
2020-11-12 12:18:31,RBC Capital,Sector Perform,,main
2020-07-21 10:07:03,Stephens & Co.,Overweight,,init
2020-05-21 13:02:34,SunTrust Robinson Humphrey,Hold,,main
2020-05-18 13:05:14,SunTrust Robinson Humphrey,Hold,,main
2020-01-15 12:31:28,SunTrust Robinson Humphrey,Hold,,init
2019-10-22 10:23:51,RBC Capital,Sector Perform,,init
