,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.151122,0.168,0.148885,0.136,0.215327,
Net Income From Continuing Operation Net Minority Interest,764244000.0,614852000.0,703873000.0,780835000.0,444414000.0,
Reconciled Depreciation,8974000.0,8975000.0,9021000.0,8981000.0,8982000.0,
Net Interest Income,-35433000.0,-20695000.0,-16985000.0,-1563000.0,-3617000.0,
Interest Expense,135822000.0,118115000.0,115532000.0,111337000.0,108616000.0,
Interest Income,100389000.0,97420000.0,98547000.0,109774000.0,104999000.0,
Normalized Income,764244000.0,614852000.0,703873000.0,780835000.0,444414000.0,
Net Income From Continuing And Discontinued Operation,764244000.0,614852000.0,703873000.0,780835000.0,444414000.0,
Diluted Average Shares,782401237.0,772434602.0,768769985.0,768280366.0,769234677.0,
Basic Average Shares,782386121.0,771796385.0,768689957.0,768230595.0,769187351.0,
Diluted EPS,0.98,0.8,0.92,1.02,0.58,
Basic EPS,0.98,0.8,0.92,1.02,0.58,
Diluted NI Availto Com Stockholders,764244000.0,614852000.0,703873000.0,780835000.0,444414000.0,
Net Income Common Stockholders,764244000.0,614852000.0,703873000.0,780835000.0,444414000.0,
Net Income,764244000.0,614852000.0,703873000.0,780835000.0,444414000.0,
Minority Interests,-861889000.0,-593922000.0,-624953000.0,-783802000.0,-503949000.0,
Net Income Including Noncontrolling Interests,1626133000.0,1208774000.0,1328826000.0,1564637000.0,948363000.0,
Net Income Continuous Operations,1626133000.0,1208774000.0,1328826000.0,1564637000.0,948363000.0,
Tax Provision,289494000.0,243827000.0,232451000.0,245303000.0,260246000.0,
Pretax Income,1915627000.0,1452601000.0,1561277000.0,1809940000.0,1208609000.0,
Gain On Sale Of Security,1063321000.0,805167000.0,1963289000.0,552832000.0,650620000.0,
Operating Expense,1245609000.0,1373839000.0,1141366000.0,1076456000.0,1084535000.0,
Other Operating Expenses,,,,,,29083000.0
Selling General And Administration,375251000.0,344477000.0,345382000.0,344415000.0,317888000.0,
General And Administrative Expense,375251000.0,344477000.0,345382000.0,344415000.0,317888000.0,
Total Revenue,3161236000.0,2826440000.0,2702643000.0,2886396000.0,2293144000.0,
Operating Revenue,3161236000.0,2826440000.0,2702643000.0,2886396000.0,2293144000.0,
