,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.02458,0.21,0.21,
Normalized EBITDA,-89775000.0,-56521000.0,-46044000.0,-19520000.0,-25530000.0,
Net Income From Continuing Operation Net Minority Interest,-100938000.0,-66936000.0,-53771000.0,-31592000.0,-37464000.0,
Reconciled Depreciation,9859000.0,9237000.0,7790000.0,8200000.0,7915000.0,
Reconciled Cost Of Revenue,199996000.0,185065000.0,176423000.0,168011000.0,170179000.0,
EBITDA,-89775000.0,-56521000.0,-46044000.0,-19520000.0,-25530000.0,
EBIT,-99634000.0,-65758000.0,-53834000.0,-27720000.0,-33445000.0,
Net Interest Income,9709000.0,12414000.0,9614000.0,8476000.0,7330000.0,
Interest Expense,1029000.0,1005000.0,1292000.0,3142000.0,3127000.0,
Interest Income,10738000.0,13419000.0,10906000.0,11618000.0,10457000.0,
Normalized Income,-100938000.0,-66936000.0,-53771000.0,-31592000.0,-37464000.0,
Net Income From Continuing And Discontinued Operation,-100938000.0,-66936000.0,-53771000.0,-31592000.0,-37464000.0,
Total Expenses,656972000.0,581007000.0,540801000.0,479096000.0,457253000.0,
Total Operating Income As Reported,-110372000.0,-79177000.0,-64740000.0,-39338000.0,-43902000.0,
Diluted Average Shares,136388000.0,134750000.0,,123775000.0,122853000.0,120814000.0
Basic Average Shares,136388000.0,134750000.0,,123775000.0,122853000.0,120814000.0
Diluted EPS,-0.74,-0.5,,-0.26,-0.3,-0.56
Basic EPS,-0.74,-0.5,,-0.26,-0.3,-0.56
Diluted NI Availto Com Stockholders,-100938000.0,-66936000.0,-53771000.0,-31592000.0,-37464000.0,
Net Income Common Stockholders,-100938000.0,-66936000.0,-53771000.0,-31592000.0,-37464000.0,
Net Income,-100938000.0,-66936000.0,-53771000.0,-31592000.0,-37464000.0,
Net Income Including Noncontrolling Interests,-100938000.0,-66936000.0,-53771000.0,-31592000.0,-37464000.0,
Net Income Continuous Operations,-100938000.0,-66936000.0,-53771000.0,-31592000.0,-37464000.0,
Tax Provision,275000.0,173000.0,-1355000.0,730000.0,892000.0,
Pretax Income,-100663000.0,-66763000.0,-55126000.0,-30862000.0,-36572000.0,
Net Non Operating Interest Income Expense,9709000.0,12414000.0,9614000.0,8476000.0,7330000.0,
Interest Expense Non Operating,1029000.0,1005000.0,1292000.0,3142000.0,3127000.0,
Interest Income Non Operating,10738000.0,13419000.0,10906000.0,11618000.0,10457000.0,
Operating Income,-110372000.0,-79177000.0,-64740000.0,-39338000.0,-43902000.0,
Operating Expense,456976000.0,395942000.0,364378000.0,311085000.0,287074000.0,
Research And Development,146427000.0,129078000.0,129461000.0,96931000.0,89109000.0,
Selling General And Administration,310549000.0,266864000.0,234917000.0,214154000.0,197965000.0,
Gross Profit,346604000.0,316765000.0,299638000.0,271747000.0,243172000.0,
Cost Of Revenue,199996000.0,185065000.0,176423000.0,168011000.0,170179000.0,
Total Revenue,546600000.0,501830000.0,476061000.0,439758000.0,413351000.0,
Operating Revenue,546600000.0,501830000.0,476061000.0,439758000.0,413351000.0,
