,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,3336900.0,-1312920.0,0.0
Tax Rate For Calcs,0.0,0.0,0.21,0.21,0.0
Normalized EBITDA,-18691000.0,-17798000.0,-30610000.0,-1422000.0,-8454000.0
Total Unusual Items,,,15890000.0,-6252000.0,1303000.0
Total Unusual Items Excluding Goodwill,,,15890000.0,-6252000.0,1303000.0
Net Income From Continuing Operation Net Minority Interest,-17595000.0,-16978000.0,1029000.0,-14031000.0,-5807000.0
Reconciled Depreciation,123000.0,121000.0,123000.0,124000.0,124000.0
EBITDA,-18691000.0,-17798000.0,-14720000.0,-7674000.0,-7151000.0
EBIT,-18814000.0,-17919000.0,-14843000.0,-7798000.0,-7275000.0
Normalized Income,-17595000.0,-16978000.0,-11524100.0,-9091920.0,-7110000.0
Net Income From Continuing And Discontinued Operation,-17595000.0,-16978000.0,1029000.0,-14031000.0,-5807000.0
Total Expenses,18814000.0,17919000.0,14843000.0,9657000.0,10480000.0
Total Operating Income As Reported,-18814000.0,-17919000.0,-14843000.0,-7798000.0,-7275000.0
Diluted Average Shares,12076412.0,11964224.0,11929520.0,11929528.0,11929528.0
Basic Average Shares,12076412.0,11964224.0,11929520.0,11929528.0,11929528.0
Diluted EPS,-1.46,-1.42,0.086257,-1.176157,-0.486775
Basic EPS,-1.46,-1.42,0.086257,-1.176157,-0.486775
Diluted NI Availto Com Stockholders,-17595000.0,-16978000.0,1029000.0,-14031000.0,-5807000.0
Net Income Common Stockholders,-17595000.0,-16978000.0,1029000.0,-14031000.0,-5807000.0
Net Income,-17595000.0,-16978000.0,1029000.0,-14031000.0,-5807000.0
Net Income Including Noncontrolling Interests,-17595000.0,-16978000.0,1029000.0,-14031000.0,-5807000.0
Net Income Continuous Operations,-17595000.0,-16978000.0,1029000.0,-14031000.0,-5807000.0
Earnings From Equity Interest Net Of Tax,0.0,,-176000.0,0.0,
Tax Provision,0.0,,,65000.0,
Pretax Income,-17595000.0,-16978000.0,1205000.0,-13966000.0,-5807000.0
Other Income Expense,1219000.0,941000.0,16048000.0,-6168000.0,1468000.0
Other Non Operating Income Expenses,1219000.0,2390000.0,158000.0,84000.0,165000.0
Earnings From Equity Interest,,-1449000.0,,,0.0
Gain On Sale Of Security,,,15890000.0,-6252000.0,1303000.0
Operating Income,-18814000.0,-17919000.0,-14843000.0,-7798000.0,-7275000.0
Operating Expense,18814000.0,17919000.0,14843000.0,9657000.0,10480000.0
Research And Development,14346000.0,13411000.0,9841000.0,7463000.0,8017000.0
Selling General And Administration,4468000.0,4508000.0,5002000.0,2194000.0,2463000.0
General And Administrative Expense,4468000.0,4508000.0,5002000.0,2194000.0,2463000.0
Other Gand A,4468000.0,4508000.0,5002000.0,2194000.0,2463000.0
Total Revenue,0.0,0.0,0.0,1859000.0,3205000.0
Operating Revenue,0.0,0.0,0.0,1859000.0,3205000.0
