,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.003152,0.003065,0.000573,0.21,0.002403,
Net Income From Continuing Operation Net Minority Interest,3479000.0,4229000.0,5233000.0,6045000.0,7473000.0,
Reconciled Depreciation,318000.0,315000.0,368000.0,296000.0,308000.0,
Net Interest Income,7866000.0,8030000.0,7638000.0,8605000.0,8158000.0,
Interest Expense,7875000.0,8385000.0,8673000.0,8918000.0,8979000.0,
Interest Income,15741000.0,16415000.0,16311000.0,17523000.0,17137000.0,
Normalized Income,3479000.0,4229000.0,5233000.0,6045000.0,7473000.0,
Net Income From Continuing And Discontinued Operation,3479000.0,4229000.0,5233000.0,6045000.0,7473000.0,
Diluted Average Shares,14723000.0,14691000.0,14675000.0,,14640000.0,14605000.0
Basic Average Shares,14723000.0,14691000.0,14675000.0,,14640000.0,14605000.0
Diluted EPS,0.23,0.28,0.35,,0.51,0.32
Basic EPS,0.23,0.28,0.35,,0.51,0.32
Diluted NI Availto Com Stockholders,3479000.0,4229000.0,5233000.0,5826000.0,7473000.0,
Net Income Common Stockholders,3479000.0,4229000.0,5233000.0,5826000.0,7473000.0,
Net Income,3479000.0,4229000.0,5233000.0,5826000.0,7473000.0,
Net Income Including Noncontrolling Interests,3479000.0,4229000.0,5233000.0,5826000.0,7473000.0,
Net Income Continuous Operations,3479000.0,4229000.0,5233000.0,6045000.0,7473000.0,
Tax Provision,11000.0,13000.0,3000.0,-103000.0,18000.0,
Pretax Income,3490000.0,4242000.0,5236000.0,5942000.0,7491000.0,
Operating Expense,3798000.0,3686000.0,2996000.0,2671000.0,761000.0,
Other Operating Expenses,1518000.0,1315000.0,697000.0,500000.0,-1338000.0,
Selling General And Administration,2280000.0,2371000.0,2299000.0,2171000.0,2099000.0,
General And Administrative Expense,2280000.0,2371000.0,2299000.0,2171000.0,2099000.0,
Total Revenue,7288000.0,7928000.0,8232000.0,8613000.0,8252000.0,
Operating Revenue,7288000.0,7928000.0,8232000.0,8613000.0,8252000.0,
