,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-1603568.512975,-10774628.730891,-1272180.0,-847770.0,-166310970.0
Tax Rate For Calcs,0.192044,0.164065,0.21,0.21,0.21
Normalized EBITDA,67287000.0,50344000.0,56404000.0,69015000.0,62671000.0
Total Unusual Items,-8350000.0,-65673000.0,-6058000.0,-4037000.0,-791957000.0
Total Unusual Items Excluding Goodwill,-8350000.0,-65673000.0,-6058000.0,-4037000.0,-791957000.0
Net Income From Continuing Operation Net Minority Interest,-32660000.0,-93012000.0,-48409000.0,-33276000.0,-837671000.0
Reconciled Depreciation,94887000.0,90173000.0,91671000.0,91814000.0,98853000.0
Reconciled Cost Of Revenue,188652000.0,194524000.0,186777000.0,177503000.0,185771000.0
EBITDA,58937000.0,-15329000.0,50346000.0,64978000.0,-729286000.0
EBIT,-35950000.0,-105502000.0,-41325000.0,-26836000.0,-828139000.0
Net Interest Income,5591000.0,6909000.0,7385000.0,9666000.0,7924000.0
Interest Expense,4473000.0,5765000.0,6846000.0,5660000.0,5648000.0
Interest Income,10064000.0,12674000.0,14231000.0,15326000.0,13572000.0
Normalized Income,-25913568.512975,-38113628.730891,-43623180.0,-30086770.0,-212024970.0
Net Income From Continuing And Discontinued Operation,-32660000.0,-93012000.0,-48409000.0,-33276000.0,-837671000.0
Total Expenses,677935000.0,684307000.0,682648000.0,680872000.0,691635000.0
Total Operating Income As Reported,-54385000.0,-120611000.0,-48215000.0,-44401000.0,-841148000.0
Diluted Average Shares,175917380.0,174154128.0,172765307.0,171496282.0,170229583.0
Basic Average Shares,175917380.0,174154128.0,172765307.0,171496282.0,170229583.0
Diluted EPS,-0.19,-0.53,-0.28,-0.19,-4.92
Basic EPS,-0.19,-0.53,-0.28,-0.19,-4.92
Diluted NI Availto Com Stockholders,-32660000.0,-93012000.0,-48409000.0,-33276000.0,-837671000.0
Net Income Common Stockholders,-32660000.0,-93012000.0,-48409000.0,-33276000.0,-837671000.0
Net Income,-32660000.0,-93012000.0,-48409000.0,-33276000.0,-837671000.0
Net Income Including Noncontrolling Interests,-32660000.0,-93012000.0,-48409000.0,-33276000.0,-837671000.0
Net Income Continuous Operations,-32660000.0,-93012000.0,-48409000.0,-33276000.0,-837671000.0
Tax Provision,-7763000.0,-18255000.0,238000.0,780000.0,3884000.0
Pretax Income,-40423000.0,-111267000.0,-48171000.0,-32496000.0,-833787000.0
Other Income Expense,21000.0,-63238000.0,-13399000.0,-1798000.0,-792520000.0
Other Non Operating Income Expenses,8371000.0,2435000.0,-7341000.0,2239000.0,-563000.0
Special Income Charges,-8350000.0,-65673000.0,-6058000.0,-4037000.0,-791957000.0
Impairment Of Capital Assets,0.0,59138000.0,0.0,0.0,790000000.0
Restructuring And Mergern Acquisition,8350000.0,6535000.0,6058000.0,4037000.0,1957000.0
Net Non Operating Interest Income Expense,5591000.0,6909000.0,7385000.0,9666000.0,7924000.0
Interest Expense Non Operating,4473000.0,5765000.0,6846000.0,5660000.0,5648000.0
Interest Income Non Operating,10064000.0,12674000.0,14231000.0,15326000.0,13572000.0
Operating Income,-46035000.0,-54938000.0,-42157000.0,-40364000.0,-49191000.0
Operating Expense,487398000.0,487478000.0,493720000.0,501127000.0,503576000.0
Depreciation Amortization Depletion Income Statement,93002000.0,87868000.0,89520000.0,89572000.0,96565000.0
Depreciation And Amortization In Income Statement,93002000.0,87868000.0,89520000.0,89572000.0,96565000.0
Amortization,88664000.0,84304000.0,86540000.0,86906000.0,94862000.0
Amortization Of Intangibles Income Statement,88664000.0,84304000.0,86540000.0,86906000.0,94862000.0
Depreciation Income Statement,4338000.0,3564000.0,2980000.0,2666000.0,1703000.0
Research And Development,68784000.0,69958000.0,76752000.0,72383000.0,76751000.0
Selling General And Administration,325612000.0,329652000.0,327448000.0,339172000.0,330260000.0
Selling And Marketing Expense,217498000.0,216878000.0,227452000.0,224927000.0,220708000.0
General And Administrative Expense,108114000.0,112774000.0,99996000.0,114245000.0,109552000.0
Other Gand A,108114000.0,112774000.0,99996000.0,114245000.0,109552000.0
Gross Profit,441363000.0,432540000.0,451563000.0,460763000.0,454385000.0
Cost Of Revenue,190537000.0,196829000.0,188928000.0,179745000.0,188059000.0
Total Revenue,631900000.0,629369000.0,640491000.0,640508000.0,642444000.0
Operating Revenue,523703000.0,525736000.0,543123000.0,555275000.0,559648000.0
