,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.278843,0.27,0.283758,0.251,0.274012
Normalized EBITDA,81542000.0,58441000.0,53970000.0,61105000.0,59194000.0
Net Income From Continuing Operation Net Minority Interest,52843000.0,36672000.0,34468000.0,41767000.0,38972000.0
Reconciled Depreciation,7127000.0,6890000.0,6773000.0,6325000.0,6191000.0
Reconciled Cost Of Revenue,801597000.0,734136000.0,673381000.0,671085000.0,614796000.0
EBITDA,81542000.0,58441000.0,53970000.0,61105000.0,59194000.0
EBIT,74415000.0,51551000.0,47197000.0,54780000.0,53003000.0
Net Interest Income,-4813000.0,-4694000.0,-5200000.0,-2851000.0,-3246000.0
Interest Expense,4813000.0,4694000.0,5200000.0,2851000.0,3246000.0
Normalized Income,52843000.0,36672000.0,34468000.0,41767000.0,38972000.0
Net Income From Continuing And Discontinued Operation,52843000.0,36672000.0,34468000.0,41767000.0,38972000.0
Total Expenses,848959000.0,775645000.0,713633000.0,707276000.0,652064000.0
Total Operating Income As Reported,72507000.0,50984000.0,46005000.0,53709000.0,51309000.0
Diluted Average Shares,51094000.0,51091000.0,51075000.0,50972000.0,50972000.0
Basic Average Shares,51041000.0,51042000.0,50976000.0,50972000.0,50972000.0
Diluted EPS,1.03,0.72,0.67,0.82,0.764577
Basic EPS,1.04,0.72,0.68,0.82,0.764577
Diluted NI Availto Com Stockholders,52843000.0,36672000.0,34468000.0,41767000.0,38972000.0
Net Income Common Stockholders,52843000.0,36672000.0,34468000.0,41767000.0,38972000.0
Net Income,52843000.0,36672000.0,34468000.0,41767000.0,38972000.0
Net Income Including Noncontrolling Interests,52843000.0,36672000.0,34468000.0,41767000.0,38972000.0
Net Income Continuous Operations,52843000.0,36672000.0,34468000.0,41767000.0,38972000.0
Earnings From Equity Interest Net Of Tax,2649000.0,3388000.0,4388000.0,3833000.0,2849000.0
Tax Provision,19408000.0,13573000.0,11917000.0,13995000.0,13634000.0
Pretax Income,69602000.0,46857000.0,41997000.0,51929000.0,49757000.0
Other Income Expense,1908000.0,567000.0,1192000.0,1071000.0,1694000.0
Other Non Operating Income Expenses,1908000.0,567000.0,1192000.0,1071000.0,1694000.0
Net Non Operating Interest Income Expense,-4813000.0,-4694000.0,-5200000.0,-2851000.0,-3246000.0
Interest Expense Non Operating,4813000.0,4694000.0,5200000.0,2851000.0,3246000.0
Operating Income,72507000.0,50984000.0,46005000.0,53709000.0,51309000.0
Operating Expense,47362000.0,41509000.0,40252000.0,36191000.0,37268000.0
Selling General And Administration,47362000.0,41509000.0,40252000.0,36191000.0,37268000.0
Gross Profit,119869000.0,92493000.0,86257000.0,89900000.0,88577000.0
Cost Of Revenue,801597000.0,734136000.0,673381000.0,671085000.0,614796000.0
Total Revenue,921466000.0,826629000.0,759638000.0,760985000.0,703373000.0
Operating Revenue,925984000.0,833242000.0,763038000.0,765399000.0,710662000.0
