,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.21,0.21,0.131,0.0
Normalized EBITDA,-8121000.0,-7728000.0,-15057000.0,12858000.0,-24374000.0
Net Income From Continuing Operation Net Minority Interest,-10219000.0,-10878000.0,-18204000.0,8710000.0,-27595000.0
Reconciled Depreciation,120000.0,124000.0,127000.0,130000.0,132000.0
Reconciled Cost Of Revenue,1079000.0,1256000.0,3076000.0,1404000.0,1459000.0
EBITDA,-8121000.0,-7728000.0,-15057000.0,12858000.0,-24374000.0
EBIT,-8241000.0,-7852000.0,-15184000.0,12728000.0,-24506000.0
Net Interest Income,-1697000.0,-1595000.0,-1530000.0,-2067000.0,-2373000.0
Interest Expense,1978000.0,2124000.0,2115000.0,2710000.0,3089000.0
Interest Income,281000.0,529000.0,585000.0,643000.0,716000.0
Normalized Income,-10219000.0,-10878000.0,-18204000.0,8710000.0,-27595000.0
Net Income From Continuing And Discontinued Operation,-10219000.0,-10878000.0,-18204000.0,8710000.0,-27595000.0
Total Expenses,23524000.0,23802000.0,28668000.0,30876000.0,38692000.0
Total Operating Income As Reported,-9048000.0,-8929000.0,-16368000.0,11516000.0,-25746000.0
Diluted Average Shares,52171684.0,,51777731.0,61040507.0,51647934.0
Basic Average Shares,52171684.0,,51777731.0,51667099.0,51647934.0
Diluted EPS,-0.2,,-0.35,0.14,-0.53
Basic EPS,-0.2,,-0.35,0.17,-0.53
Diluted NI Availto Com Stockholders,-10219000.0,-10878000.0,-18204000.0,8710000.0,-27595000.0
Net Income Common Stockholders,-10219000.0,-10878000.0,-18204000.0,8710000.0,-27595000.0
Net Income,-10219000.0,-10878000.0,-18204000.0,8710000.0,-27595000.0
Net Income Including Noncontrolling Interests,-10219000.0,-10878000.0,-18204000.0,8710000.0,-27595000.0
Net Income Continuous Operations,-10219000.0,-10878000.0,-18204000.0,8710000.0,-27595000.0
Tax Provision,0.0,902000.0,905000.0,1308000.0,0.0
Pretax Income,-10219000.0,-9976000.0,-17299000.0,10018000.0,-27595000.0
Other Income Expense,526000.0,548000.0,599000.0,569000.0,524000.0
Other Non Operating Income Expenses,526000.0,548000.0,599000.0,569000.0,524000.0
Net Non Operating Interest Income Expense,-1697000.0,-1595000.0,-1530000.0,-2067000.0,-2373000.0
Interest Expense Non Operating,1978000.0,2124000.0,2115000.0,2710000.0,3089000.0
Interest Income Non Operating,281000.0,529000.0,585000.0,643000.0,716000.0
Operating Income,-9048000.0,-8929000.0,-16368000.0,11516000.0,-25746000.0
Operating Expense,22445000.0,22546000.0,25592000.0,29472000.0,37233000.0
Research And Development,7318000.0,7380000.0,8811000.0,12040000.0,15480000.0
Selling General And Administration,15127000.0,15166000.0,16781000.0,17432000.0,21753000.0
Gross Profit,13397000.0,13617000.0,9224000.0,40988000.0,11487000.0
Cost Of Revenue,1079000.0,1256000.0,3076000.0,1404000.0,1459000.0
Total Revenue,14476000.0,14873000.0,12300000.0,42392000.0,12946000.0
Operating Revenue,14476000.0,14873000.0,12300000.0,42392000.0,12946000.0
