,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.007914,0.00729,0.002662,0.003052,
Net Income From Continuing Operation Net Minority Interest,42161000.0,39615000.0,54061000.0,80557000.0,73493000.0,
Net Interest Income,74687000.0,74737000.0,71471000.0,71651000.0,70614000.0,
Interest Expense,46577000.0,40833000.0,34158000.0,31012000.0,29668000.0,
Interest Income,121264000.0,115570000.0,105629000.0,102663000.0,100282000.0,
Normalized Income,42161000.0,39615000.0,54061000.0,80557000.0,73493000.0,
Net Income From Continuing And Discontinued Operation,42161000.0,39615000.0,54061000.0,80557000.0,73493000.0,
Diluted Average Shares,123356823.0,123322207.0,123028290.0,,122817933.0,122817933.0
Basic Average Shares,123356823.0,123322207.0,123028290.0,,122817933.0,122817933.0
Diluted EPS,0.34,0.32,0.44,,0.59839,0.566123
Basic EPS,0.34,0.32,0.44,,0.59839,0.566123
Diluted NI Availto Com Stockholders,42161000.0,39615000.0,54061000.0,80557000.0,73493000.0,
Net Income Common Stockholders,42161000.0,39615000.0,54061000.0,80557000.0,73493000.0,
Net Income,42161000.0,39615000.0,54061000.0,80557000.0,73493000.0,
Net Income Including Noncontrolling Interests,42161000.0,39615000.0,54061000.0,80557000.0,73493000.0,
Net Income Continuous Operations,42161000.0,39615000.0,54061000.0,80557000.0,73493000.0,
Tax Provision,-580000.0,316000.0,397000.0,215000.0,225000.0,
Pretax Income,41581000.0,39931000.0,54458000.0,80772000.0,73718000.0,
Gain On Sale Of Security,-8407000.0,137000.0,-3389000.0,43000.0,216000.0,
Operating Expense,6183000.0,5467000.0,11623000.0,4152000.0,3749000.0,
Other Operating Expenses,1913000.0,1874000.0,1620000.0,1311000.0,1436000.0,
Selling General And Administration,4270000.0,3593000.0,10003000.0,2841000.0,2313000.0,
General And Administrative Expense,4270000.0,3593000.0,10003000.0,2841000.0,2313000.0,
Total Revenue,47764000.0,45398000.0,66081000.0,84924000.0,77467000.0,
Operating Revenue,47764000.0,45398000.0,66081000.0,84924000.0,77467000.0,
