,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.0,0.0,0.21,0.0,0.0,
Net Income From Continuing Operation Net Minority Interest,-1347000.0,-658000.0,1851000.0,-3121000.0,-1951000.0,
Net Interest Income,2930000.0,2850000.0,2979000.0,2309000.0,3059000.0,
Interest Expense,2163000.0,2303000.0,2007000.0,1944000.0,2080000.0,
Interest Income,5093000.0,5153000.0,4986000.0,4253000.0,5139000.0,
Normalized Income,-1347000.0,-658000.0,1851000.0,-3121000.0,-1951000.0,
Net Income From Continuing And Discontinued Operation,-1347000.0,-658000.0,1851000.0,-3121000.0,-1951000.0,
Diluted Average Shares,2675636.0,2676018.0,3195740.0,,2688826.0,3243374.0
Basic Average Shares,2675636.0,2676018.0,2678342.0,,2688826.0,2703871.0
Diluted EPS,-0.5,-0.25,0.65,,-0.73,1.07
Basic EPS,-0.5,-0.25,0.69,,-0.73,1.2
Diluted NI Availto Com Stockholders,-1347000.0,-658000.0,1851000.0,-3121000.0,-1951000.0,
Net Income Common Stockholders,-1347000.0,-658000.0,1851000.0,-3121000.0,-1951000.0,
Net Income,-1347000.0,-658000.0,1851000.0,-3121000.0,-1951000.0,
Net Income Including Noncontrolling Interests,-1347000.0,-658000.0,1851000.0,-3121000.0,-1951000.0,
Net Income Continuous Operations,-1347000.0,-658000.0,1851000.0,-3121000.0,-1951000.0,
Pretax Income,-1347000.0,-658000.0,1851000.0,-3121000.0,-1951000.0,
Gain On Sale Of Security,11068000.0,-200000.0,287000.0,-12430000.0,-95000.0,
Operating Expense,1277000.0,1524000.0,1214000.0,1021000.0,1015000.0,
Other Operating Expenses,147000.0,116000.0,58000.0,,,
Selling General And Administration,1130000.0,1408000.0,1156000.0,1021000.0,1015000.0,
General And Administrative Expense,1130000.0,1408000.0,1156000.0,1021000.0,1015000.0,
Total Revenue,-70000.0,866000.0,3065000.0,-2100000.0,-936000.0,
Operating Revenue,-70000.0,866000.0,3065000.0,-2100000.0,-936000.0,
