,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.4,0.0,0.0,0.0,0.21,
Normalized EBITDA,102454.0,185524.0,214403.0,245747.0,203810.0,
Net Income From Continuing Operation Net Minority Interest,115524.0,199238.0,228057.0,258276.0,215803.0,
EBITDA,102454.0,185524.0,214403.0,245747.0,203810.0,
EBIT,102454.0,185524.0,214403.0,245747.0,203810.0,
Net Interest Income,13070.0,13714.0,13654.0,12529.0,11993.0,
Interest Income,13070.0,13714.0,13654.0,12529.0,11993.0,
Normalized Income,115524.0,199238.0,228057.0,258276.0,215803.0,
Net Income From Continuing And Discontinued Operation,115524.0,199238.0,228057.0,258276.0,215803.0,
Total Expenses,132046.0,63676.0,76618.0,54481.0,84804.0,
Diluted Average Shares,2000000.0,2000000.0,2000000.0,,2000000.0,2000000.0
Basic Average Shares,2000000.0,2000000.0,2000000.0,,2000000.0,2000000.0
Diluted EPS,0.06,0.1,0.11,,0.11,0.19
Basic EPS,0.06,0.1,0.11,,0.11,0.19
Diluted NI Availto Com Stockholders,115524.0,199238.0,228057.0,258276.0,215803.0,
Net Income Common Stockholders,115524.0,199238.0,228057.0,258276.0,215803.0,
Net Income,115524.0,199238.0,228057.0,258276.0,215803.0,
Net Income Including Noncontrolling Interests,115524.0,199238.0,228057.0,258276.0,215803.0,
Net Income Continuous Operations,115524.0,199238.0,228057.0,258276.0,215803.0,
Tax Provision,,0.0,0.0,0.0,0.0,0.0
Pretax Income,115524.0,199238.0,228057.0,258276.0,215803.0,
Net Non Operating Interest Income Expense,13070.0,13714.0,13654.0,12529.0,11993.0,
Interest Income Non Operating,13070.0,13714.0,13654.0,12529.0,11993.0,
Operating Income,102454.0,185524.0,214403.0,245747.0,203810.0,
Operating Expense,132046.0,63676.0,76618.0,54481.0,84804.0,
Selling General And Administration,132046.0,63676.0,76618.0,54481.0,84804.0,
General And Administrative Expense,132046.0,63676.0,76618.0,54481.0,84804.0,
Other Gand A,132046.0,63676.0,76618.0,54481.0,84804.0,
Total Revenue,234500.0,249200.0,291021.0,300228.0,288614.0,
Operating Revenue,234500.0,249200.0,291021.0,300228.0,288614.0,
