,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,2096.551724,0.0,849.0,-1245.283019,0.0,
Tax Rate For Calcs,0.262069,0.207,0.283,0.207547,0.272727,
Total Unusual Items,8000.0,0.0,3000.0,-6000.0,0.0,
Total Unusual Items Excluding Goodwill,8000.0,0.0,3000.0,-6000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,-107000.0,-361000.0,-175000.0,42000.0,144000.0,
Reconciled Depreciation,59000.0,60000.0,59000.0,60000.0,63000.0,
Net Interest Income,1765000.0,1657000.0,1670000.0,1931000.0,2045000.0,
Interest Expense,2408000.0,2270000.0,2064000.0,1601000.0,1165000.0,
Interest Income,4173000.0,3927000.0,3734000.0,3532000.0,3210000.0,
Normalized Income,-112903.448276,-361000.0,-177151.0,46754.716981,144000.0,
Net Income From Continuing And Discontinued Operation,-107000.0,-361000.0,-175000.0,42000.0,144000.0,
Diluted Average Shares,8098715.0,8098715.0,8098715.0,8101287.0,8129006.0,
Basic Average Shares,8098715.0,8098715.0,8098715.0,8101287.0,8129006.0,
Diluted EPS,-0.01,-0.05,-0.02,0.005184,0.02,
Basic EPS,-0.01,-0.05,-0.02,0.005184,0.02,
Diluted NI Availto Com Stockholders,-107000.0,-361000.0,-175000.0,42000.0,144000.0,
Net Income Common Stockholders,-107000.0,-361000.0,-175000.0,42000.0,144000.0,
Net Income,-107000.0,-361000.0,-175000.0,42000.0,144000.0,
Net Income Including Noncontrolling Interests,-107000.0,-361000.0,-175000.0,42000.0,144000.0,
Net Income Continuous Operations,-107000.0,-361000.0,-175000.0,42000.0,144000.0,
Tax Provision,-38000.0,-94000.0,-69000.0,11000.0,54000.0,
Pretax Income,-145000.0,-455000.0,-244000.0,53000.0,198000.0,
Special Income Charges,0.0,0.0,,0.0,0.0,0.0
Other Special Charges,,,,0.0,,
Selling General And Administration,1339000.0,1394000.0,1316000.0,1313000.0,1296000.0,
Selling And Marketing Expense,36000.0,49000.0,39000.0,41000.0,31000.0,
General And Administrative Expense,1303000.0,1345000.0,1277000.0,1272000.0,1265000.0,
Insurance And Claims,57000.0,72000.0,35000.0,54000.0,22000.0,
Salaries And Wages,1246000.0,1273000.0,1242000.0,1218000.0,1243000.0,
Total Revenue,1843000.0,1703000.0,1744000.0,1997000.0,2114000.0,
Operating Revenue,1843000.0,1703000.0,1744000.0,1997000.0,2114000.0,
