,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,29040723.542419,14852880.578969,-40252500.0,-24530100.0,-53891099.597394
Tax Rate For Calcs,0.233428,0.294,0.3,0.3,0.319014
Normalized EBITDA,484378000.0,296952000.0,545290000.0,474336000.0,696141000.0
Total Unusual Items,124410000.0,50520000.0,-134175000.0,-81767000.0,-168930000.0
Total Unusual Items Excluding Goodwill,124410000.0,50520000.0,-134175000.0,-81767000.0,-168930000.0
Net Income From Continuing Operation Net Minority Interest,329541000.0,115471000.0,235654000.0,210595000.0,214061000.0
Reconciled Depreciation,59717000.0,58256000.0,60024000.0,56389000.0,56456000.0
Reconciled Cost Of Revenue,2724652000.0,2515408000.0,2587231000.0,2749718000.0,2808749000.0
EBITDA,608788000.0,347472000.0,411115000.0,392569000.0,527211000.0
EBIT,549071000.0,289216000.0,351091000.0,336180000.0,470755000.0
Net Interest Income,-136647000.0,-128023000.0,-104508000.0,-157102000.0,-157039000.0
Interest Expense,120347000.0,114699000.0,165420000.0,141485000.0,144381000.0
Interest Income,6170000.0,8328000.0,9538000.0,8025000.0,8846000.0
Normalized Income,234171723.542419,79803880.578969,329576500.0,267831900.0,329099900.402606
Net Income From Continuing And Discontinued Operation,318018000.0,733959000.0,48499000.0,405717000.0,230388000.0
Total Expenses,3634379000.0,3357001000.0,3436860000.0,3661939000.0,3751435000.0
Total Operating Income As Reported,421119000.0,246603000.0,392605000.0,398366000.0,627890000.0
Diluted Average Shares,1450832824.0,1450832824.0,1610300000.0,1517833895.0,1450832824.0
Basic Average Shares,1450832824.0,1450832824.0,1610300000.0,1517833895.0,1450832824.0
Diluted EPS,0.219197,0.505888,0.03,0.2673,0.158797
Basic EPS,0.219197,0.505888,0.03,0.2673,0.158797
Diluted NI Availto Com Stockholders,318018000.0,733959000.0,48499000.0,405717000.0,230388000.0
Net Income Common Stockholders,318018000.0,733959000.0,48499000.0,405717000.0,230388000.0
Net Income,318018000.0,733959000.0,48499000.0,405717000.0,230388000.0
Minority Interests,893000.0,-7739000.0,-4843000.0,-2758000.0,-8195000.0
Net Income Including Noncontrolling Interests,317126000.0,741698000.0,53342000.0,408475000.0,238583000.0
Net Income Discontinuous Operations,-11523000.0,618488000.0,-187155000.0,195122000.0,16327000.0
Net Income Continuous Operations,328649000.0,123209000.0,240497000.0,213353000.0,222256000.0
Tax Provision,100076000.0,51308000.0,-54827000.0,-18658000.0,104118000.0
Pretax Income,428724000.0,174517000.0,185671000.0,194695000.0,326374000.0
Other Income Expense,74037000.0,10364000.0,-84133000.0,-75937000.0,-121811000.0
Other Non Operating Income Expenses,-70215000.0,-45573000.0,18026000.0,-29368000.0,22665000.0
Earnings From Equity Interest,19842000.0,5417000.0,24749000.0,35198000.0,24454000.0
Gain On Sale Of Security,124410000.0,50520000.0,11825000.0,-81767000.0,-168930000.0
Net Non Operating Interest Income Expense,-136647000.0,-128023000.0,-104508000.0,-157102000.0,-157039000.0
Total Other Finance Cost,22470000.0,21652000.0,-51374000.0,23642000.0,21504000.0
Interest Expense Non Operating,120347000.0,114699000.0,165420000.0,141485000.0,144381000.0
Interest Income Non Operating,6170000.0,8328000.0,9538000.0,8025000.0,8846000.0
Operating Income,491334000.0,292176000.0,374313000.0,427735000.0,605225000.0
Operating Expense,909727000.0,841593000.0,849629000.0,912221000.0,942686000.0
Depreciation Amortization Depletion Income Statement,59717000.0,58256000.0,60024000.0,56389000.0,56456000.0
Depreciation And Amortization In Income Statement,59717000.0,58256000.0,60024000.0,56389000.0,56456000.0
Depreciation Income Statement,59717000.0,58256000.0,59824000.0,56389000.0,56456000.0
Selling General And Administration,850010000.0,783337000.0,-1115395000.0,855832000.0,886230000.0
Selling And Marketing Expense,544717000.0,486877000.0,524329000.0,557158000.0,587845000.0
General And Administrative Expense,305293000.0,296460000.0,581754000.0,298674000.0,298385000.0
Other Gand A,305293000.0,296460000.0,-623246000.0,298674000.0,298385000.0
Gross Profit,1401061000.0,1133769000.0,1223942000.0,1339956000.0,1547911000.0
Cost Of Revenue,2724652000.0,2515408000.0,2587231000.0,2749718000.0,2808749000.0
Total Revenue,4125713000.0,3649177000.0,3811173000.0,4089673000.0,4356660000.0
Operating Revenue,4125713000.0,3649177000.0,3811173000.0,4089673000.0,4356660000.0
