,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,172620.0,0.0,0.0,115080.0,0.0,
Tax Rate For Calcs,0.21,0.0,0.0,0.21,0.21,
Normalized EBITDA,-1915388.0,-26582.0,-331551.0,-1176428.0,-261062.0,
Total Unusual Items,822000.0,-2148000.0,-2077000.0,548000.0,,548000.0
Total Unusual Items Excluding Goodwill,822000.0,-2148000.0,-2077000.0,548000.0,,548000.0
Net Income From Continuing Operation Net Minority Interest,60908.0,-3973890.0,-3902244.0,527471.0,767348.0,
EBITDA,-1093388.0,-2174582.0,-2408551.0,-628428.0,-261062.0,
EBIT,-1093388.0,-2174582.0,-2408551.0,-628428.0,-261062.0,
Net Interest Income,332296.0,348692.0,583307.0,607899.0,1028410.0,
Interest Income,332296.0,348692.0,583307.0,607899.0,1028410.0,
Normalized Income,-588472.0,-1825890.0,-1825244.0,94551.0,767348.0,
Net Income From Continuing And Discontinued Operation,60908.0,-3973890.0,-3902244.0,527471.0,767348.0,
Total Expenses,1093388.0,2174582.0,2408551.0,628428.0,261062.0,
Total Operating Income As Reported,-1093388.0,-2174582.0,-2408551.0,-628428.0,-261062.0,
Diluted Average Shares,7999422.0,8085795.0,9964415.0,,9964415.0,28750000.0
Basic Average Shares,5750000.0,5750000.0,5750000.0,,5750000.0,5750000.0
Diluted EPS,0.01,-0.49,-0.391618,,0.08,0.11
Basic EPS,0.01,-0.49,-0.39,,0.08,0.11
Diluted NI Availto Com Stockholders,60908.0,-3973890.0,-3902244.0,527471.0,767348.0,
Net Income Common Stockholders,60908.0,-3973890.0,-3902244.0,527471.0,767348.0,
Net Income,60908.0,-3973890.0,-3902244.0,527471.0,767348.0,
Net Income Including Noncontrolling Interests,60908.0,-3973890.0,-3902244.0,527471.0,767348.0,
Net Income Continuous Operations,60908.0,-3973890.0,-3902244.0,527471.0,767348.0,
Pretax Income,60908.0,-3973890.0,-3902244.0,527471.0,767348.0,
Other Income Expense,822000.0,-2148000.0,-2077000.0,548000.0,,762220.0
Other Non Operating Income Expenses,,,,0.0,,214220.0
Gain On Sale Of Security,822000.0,-2148000.0,-2077000.0,548000.0,,548000.0
Net Non Operating Interest Income Expense,332296.0,348692.0,583307.0,607899.0,1028410.0,
Interest Income Non Operating,332296.0,348692.0,583307.0,607899.0,1028410.0,
Operating Income,-1093388.0,-2174582.0,-2408551.0,-628428.0,-261062.0,
Operating Expense,1093388.0,2174582.0,2408551.0,628428.0,261062.0,
Other Operating Expenses,1093388.0,2174582.0,2408551.0,628428.0,261062.0,
Total Revenue,0.0,0.0,0.0,0.0,0.0,
Operating Revenue,0.0,0.0,0.0,0.0,0.0,
