,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.2209,0.1662,0.222423,0.2209,0.222,
Total Unusual Items,,,,,,-85000.0
Total Unusual Items Excluding Goodwill,,,,,,-85000.0
Net Income From Continuing Operation Net Minority Interest,4888000.0,3948000.0,3440000.0,4127000.0,4808000.0,
Reconciled Depreciation,758000.0,671000.0,710000.0,696000.0,817000.0,
Net Interest Income,13416000.0,13304000.0,13270000.0,13340000.0,13771000.0,
Interest Expense,6654000.0,6506000.0,5886000.0,4966000.0,3828000.0,
Interest Income,20070000.0,19810000.0,19156000.0,18306000.0,17599000.0,
Normalized Income,4888000.0,3948000.0,3440000.0,4127000.0,4808000.0,
Net Income From Continuing And Discontinued Operation,4888000.0,3948000.0,3440000.0,4127000.0,4808000.0,
Diluted Average Shares,5476350.0,5501150.0,5548387.0,5577027.0,5656471.0,
Basic Average Shares,5290856.0,5318671.0,5375000.0,5430263.0,5463636.0,
Diluted EPS,0.89,0.72,0.62,0.74,0.85,
Basic EPS,0.93,0.74,0.64,0.76,0.88,
Diluted NI Availto Com Stockholders,4888000.0,3948000.0,3440000.0,4127000.0,4808000.0,
Net Income Common Stockholders,4888000.0,3948000.0,3440000.0,4127000.0,4808000.0,
Net Income,4888000.0,3948000.0,3440000.0,4127000.0,4808000.0,
Net Income Including Noncontrolling Interests,4888000.0,3948000.0,3440000.0,4127000.0,4808000.0,
Net Income Continuous Operations,4888000.0,3948000.0,3440000.0,4127000.0,4808000.0,
Tax Provision,1386000.0,787000.0,984000.0,1170000.0,1372000.0,
Pretax Income,6274000.0,4735000.0,4424000.0,5297000.0,6180000.0,
Gain On Sale Of Security,0.0,0.0,0.0,0.0,0.0,
Selling General And Administration,7114000.0,7370000.0,7509000.0,7125000.0,6702000.0,
Selling And Marketing Expense,95000.0,199000.0,188000.0,217000.0,156000.0,
General And Administrative Expense,7019000.0,7171000.0,7321000.0,6908000.0,6546000.0,
Insurance And Claims,192000.0,191000.0,189000.0,186000.0,260000.0,
Salaries And Wages,6827000.0,6980000.0,7132000.0,6722000.0,6286000.0,
Total Revenue,17989000.0,17126000.0,17227000.0,17540000.0,17843000.0,
Operating Revenue,17989000.0,17126000.0,17227000.0,17540000.0,17843000.0,
