,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-6720000.0,-3550295.857988,-7980000.0,-14490000.0,-7140000.0,,
Tax Rate For Calcs,0.21,0.221893,0.21,0.21,0.21,,
Normalized EBITDA,462000000.0,730000000.0,562000000.0,566000000.0,507000000.0,,
Total Unusual Items,-32000000.0,-16000000.0,-38000000.0,-69000000.0,-34000000.0,,
Total Unusual Items Excluding Goodwill,-32000000.0,-16000000.0,-38000000.0,-69000000.0,-34000000.0,,
Net Income From Continuing Operation Net Minority Interest,16000000.0,264000000.0,57000000.0,42000000.0,26000000.0,,
Reconciled Depreciation,309000000.0,318000000.0,327000000.0,335000000.0,333000000.0,,
Reconciled Cost Of Revenue,2383000000.0,2395000000.0,2409000000.0,2421000000.0,2519000000.0,,
EBITDA,430000000.0,714000000.0,524000000.0,497000000.0,473000000.0,,
EBIT,121000000.0,396000000.0,197000000.0,162000000.0,140000000.0,,
Net Interest Income,-8000000.0,-12000000.0,-15000000.0,-18000000.0,-21000000.0,,
Interest Expense,54000000.0,58000000.0,66000000.0,69000000.0,72000000.0,,
Interest Income,46000000.0,46000000.0,51000000.0,51000000.0,51000000.0,,
Normalized Income,41280000.0,276449704.142012,87020000.0,96510000.0,52860000.0,,
Net Income From Continuing And Discontinued Operation,16000000.0,264000000.0,57000000.0,42000000.0,26000000.0,,
Total Expenses,3086000000.0,2840000000.0,3071000000.0,3109000000.0,3153000000.0,,
Diluted Average Shares,184960000.0,184840000.0,184770000.0,183880000.0,182930000.0,,
Basic Average Shares,181100000.0,181090000.0,181020000.0,180930000.0,179660000.0,,
Diluted EPS,0.09,1.43,0.31,0.23,0.14,,
Basic EPS,0.09,1.46,0.31,0.23,0.14,,
Diluted NI Availto Com Stockholders,16000000.0,264000000.0,57000000.0,42000000.0,26000000.0,,
Net Income Common Stockholders,16000000.0,264000000.0,57000000.0,42000000.0,26000000.0,,
Net Income,16000000.0,264000000.0,57000000.0,42000000.0,26000000.0,,
Minority Interests,-2000000.0,1000000.0,-6000000.0,-3000000.0,1000000.0,,
Net Income Including Noncontrolling Interests,18000000.0,263000000.0,63000000.0,45000000.0,25000000.0,,
Net Income Continuous Operations,18000000.0,263000000.0,63000000.0,45000000.0,25000000.0,,
Tax Provision,49000000.0,75000000.0,68000000.0,48000000.0,43000000.0,,
Pretax Income,67000000.0,338000000.0,131000000.0,93000000.0,68000000.0,,
Other Income Expense,2000000.0,21000000.0,-8000000.0,-21000000.0,6000000.0,,
Other Non Operating Income Expenses,34000000.0,37000000.0,30000000.0,48000000.0,40000000.0,,
Special Income Charges,-37000000.0,-20000000.0,-39000000.0,-69000000.0,-33000000.0,,
Gain On Sale Of Ppe,0.0,9000000.0,-3000000.0,-27000000.0,6000000.0,,
Gain On Sale Of Business,,0.0,7000000.0,0.0,0.0,-17000000.0,
Restructuring And Mergern Acquisition,37000000.0,29000000.0,43000000.0,42000000.0,39000000.0,,
Gain On Sale Of Security,5000000.0,,1000000.0,,-1000000.0,3000000.0,-5000000.0
Net Non Operating Interest Income Expense,-8000000.0,-12000000.0,-15000000.0,-18000000.0,-21000000.0,,
Interest Expense Non Operating,54000000.0,58000000.0,66000000.0,69000000.0,72000000.0,,
Interest Income Non Operating,46000000.0,46000000.0,51000000.0,51000000.0,51000000.0,,
Operating Income,73000000.0,329000000.0,154000000.0,132000000.0,83000000.0,,
Operating Expense,698000000.0,439000000.0,655000000.0,682000000.0,627000000.0,,
Depreciation Amortization Depletion Income Statement,304000000.0,312000000.0,320000000.0,329000000.0,326000000.0,,
Depreciation And Amortization In Income Statement,304000000.0,312000000.0,320000000.0,329000000.0,326000000.0,,
Selling General And Administration,394000000.0,127000000.0,335000000.0,353000000.0,301000000.0,,
General And Administrative Expense,,,,,301000000.0,740000000.0,294000000.0
Other Gand A,,,,,301000000.0,295000000.0,294000000.0
Salaries And Wages,,,,,-40000000.0,408000000.0,-35000000.0
Gross Profit,771000000.0,768000000.0,809000000.0,814000000.0,710000000.0,,
Cost Of Revenue,2388000000.0,2401000000.0,2416000000.0,2427000000.0,2526000000.0,,
Total Revenue,3159000000.0,3169000000.0,3225000000.0,3241000000.0,3236000000.0,,
Operating Revenue,3159000000.0,3169000000.0,3225000000.0,3241000000.0,3236000000.0,,
