,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.091,0.260711,0.21,0.21,0.144
Normalized EBITDA,-14485000.0,25783000.0,7823000.0,5098000.0,-14594000.0
Net Income From Continuing Operation Net Minority Interest,-14330000.0,14754000.0,1159000.0,-847000.0,-16780000.0
Reconciled Depreciation,5387000.0,5653000.0,5455000.0,5491000.0,5561000.0
Reconciled Cost Of Revenue,129028000.0,178127000.0,144161000.0,138385000.0,125489000.0
EBITDA,-14485000.0,25783000.0,7823000.0,5098000.0,-14594000.0
EBIT,-19872000.0,20130000.0,2368000.0,-393000.0,-20155000.0
Net Interest Income,2255000.0,742000.0,1013000.0,1128000.0,1321000.0
Interest Income,2255000.0,742000.0,1013000.0,1128000.0,1321000.0
Normalized Income,-14330000.0,14754000.0,1159000.0,-847000.0,-16780000.0
Net Income From Continuing And Discontinued Operation,-14330000.0,14754000.0,1159000.0,-847000.0,-16780000.0
Total Expenses,204215000.0,259030000.0,220107000.0,210572000.0,197543000.0
Total Operating Income As Reported,-19872000.0,20130000.0,2368000.0,-393000.0,-20155000.0
Diluted Average Shares,18116000.0,18806000.0,18881000.0,19284000.0,19465000.0
Basic Average Shares,18116000.0,18464000.0,18463000.0,19284000.0,19465000.0
Diluted EPS,-0.79,0.78,0.06,-0.04,-0.86
Basic EPS,-0.79,0.8,0.06,-0.04,-0.86
Diluted NI Availto Com Stockholders,-14330000.0,14754000.0,1159000.0,-847000.0,-16780000.0
Net Income Common Stockholders,-14330000.0,14754000.0,1159000.0,-847000.0,-16780000.0
Net Income,-14330000.0,14754000.0,1159000.0,-847000.0,-16780000.0
Net Income Including Noncontrolling Interests,-14330000.0,14754000.0,1159000.0,-847000.0,-16780000.0
Net Income Continuous Operations,-14330000.0,14754000.0,1159000.0,-847000.0,-16780000.0
Tax Provision,-1443000.0,5203000.0,2005000.0,1403000.0,-2821000.0
Pretax Income,-15773000.0,19957000.0,3164000.0,556000.0,-19601000.0
Other Income Expense,1844000.0,-915000.0,-217000.0,-179000.0,-767000.0
Other Non Operating Income Expenses,1844000.0,-915000.0,-217000.0,-179000.0,-767000.0
Net Non Operating Interest Income Expense,2255000.0,742000.0,1013000.0,1128000.0,1321000.0
Interest Income Non Operating,2255000.0,742000.0,1013000.0,1128000.0,1321000.0
Operating Income,-19872000.0,20130000.0,2368000.0,-393000.0,-20155000.0
Operating Expense,75187000.0,80903000.0,75946000.0,72187000.0,72054000.0
Selling General And Administration,75187000.0,80903000.0,75946000.0,72187000.0,72054000.0
Gross Profit,55315000.0,101033000.0,78314000.0,71794000.0,51899000.0
Cost Of Revenue,129028000.0,178127000.0,144161000.0,138385000.0,125489000.0
Total Revenue,184343000.0,279160000.0,222475000.0,210179000.0,177388000.0
Operating Revenue,184343000.0,279160000.0,222475000.0,210179000.0,177388000.0
