,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.21,0.344675,0.034,0.117375
Normalized EBITDA,-1939000.0,483000.0,8052000.0,8875000.0,5464000.0
Net Income From Continuing Operation Net Minority Interest,-9978000.0,-7345000.0,-679000.0,1512000.0,-1897000.0
Reconciled Depreciation,4539000.0,4505000.0,5398000.0,4166000.0,4064000.0
Reconciled Cost Of Revenue,48164000.0,47039000.0,56190000.0,73582000.0,76215000.0
EBITDA,-1939000.0,483000.0,8052000.0,8875000.0,5464000.0
EBIT,-6478000.0,-4022000.0,2654000.0,4709000.0,1400000.0
Net Interest Income,-1637000.0,-1812000.0,-1978000.0,-1988000.0,-2482000.0
Interest Expense,1637000.0,1812000.0,1978000.0,1988000.0,2482000.0
Normalized Income,-9978000.0,-7345000.0,-679000.0,1512000.0,-1897000.0
Net Income From Continuing And Discontinued Operation,-9978000.0,-7345000.0,-679000.0,1512000.0,-1897000.0
Total Expenses,65541000.0,65318000.0,72833000.0,89108000.0,91929000.0
Total Operating Income As Reported,-6478000.0,-4022000.0,2654000.0,4709000.0,1400000.0
Diluted Average Shares,48091000.0,47791000.0,47659000.0,47640000.0,47395000.0
Basic Average Shares,48091000.0,47791000.0,47659000.0,47523000.0,47395000.0
Diluted EPS,-0.21,-0.15,-0.01,0.03,-0.04
Basic EPS,-0.21,-0.15,-0.01,0.03,-0.04
Diluted NI Availto Com Stockholders,-9978000.0,-7345000.0,-679000.0,1512000.0,-1897000.0
Net Income Common Stockholders,-9978000.0,-7345000.0,-679000.0,1512000.0,-1897000.0
Net Income,-9978000.0,-7345000.0,-679000.0,1512000.0,-1897000.0
Minority Interests,-1121000.0,-1127000.0,-1122000.0,-1116000.0,-942000.0
Net Income Including Noncontrolling Interests,-8857000.0,-6218000.0,443000.0,2628000.0,-955000.0
Net Income Continuous Operations,-8857000.0,-6218000.0,443000.0,2628000.0,-955000.0
Tax Provision,742000.0,384000.0,233000.0,93000.0,-127000.0
Pretax Income,-8115000.0,-5834000.0,676000.0,2721000.0,-1082000.0
Net Non Operating Interest Income Expense,-1637000.0,-1812000.0,-1978000.0,-1988000.0,-2482000.0
Interest Expense Non Operating,1637000.0,1812000.0,1978000.0,1988000.0,2482000.0
Operating Income,-6478000.0,-4022000.0,2654000.0,4709000.0,1400000.0
Operating Expense,17377000.0,18279000.0,16643000.0,15526000.0,15714000.0
Research And Development,3368000.0,3249000.0,4215000.0,3431000.0,3382000.0
Selling General And Administration,14009000.0,15030000.0,12428000.0,12095000.0,12332000.0
Gross Profit,10899000.0,14257000.0,19297000.0,20235000.0,17114000.0
Cost Of Revenue,48164000.0,47039000.0,56190000.0,73582000.0,76215000.0
Total Revenue,59063000.0,61296000.0,75487000.0,93817000.0,93329000.0
Operating Revenue,59063000.0,60129000.0,78988000.0,92650000.0,93329000.0
