,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.259283,0.284898,0.25106,0.297674,0.254917
Net Income From Continuing Operation Net Minority Interest,1137000.0,876000.0,883000.0,1661000.0,1970000.0
Reconciled Depreciation,2175000.0,2115000.0,1946000.0,1928000.0,1764000.0
Net Interest Income,9449000.0,9182000.0,8742000.0,8877000.0,8393000.0
Interest Expense,11993000.0,11245000.0,10445000.0,9977000.0,9227000.0
Interest Income,21442000.0,20427000.0,19187000.0,18854000.0,17620000.0
Normalized Income,1137000.0,876000.0,883000.0,1661000.0,1970000.0
Net Income From Continuing And Discontinued Operation,1137000.0,866000.0,824000.0,1655000.0,1923000.0
Diluted Average Shares,4134169.0,4134581.0,4130484.0,4106250.0,4182927.0
Basic Average Shares,4134169.0,4134581.0,4130484.0,4106250.0,4083333.0
Diluted EPS,0.18,0.12,0.11,0.32,0.41
Basic EPS,0.18,0.12,0.11,0.32,0.42
Diluted NI Availto Com Stockholders,752000.0,480000.0,439000.0,1510000.0,1779000.0
Average Dilution Earnings,0.0,0.0,0.0,196000.0,64000.0
Net Income Common Stockholders,752000.0,480000.0,439000.0,1314000.0,1715000.0
Preferred Stock Dividends,385000.0,386000.0,385000.0,341000.0,208000.0
Net Income,1137000.0,866000.0,824000.0,1655000.0,1923000.0
Net Income Including Noncontrolling Interests,1137000.0,866000.0,824000.0,1655000.0,1923000.0
Net Income Discontinuous Operations,0.0,-10000.0,-59000.0,-6000.0,-47000.0
Net Income Continuous Operations,1137000.0,876000.0,883000.0,1661000.0,1970000.0
Tax Provision,398000.0,349000.0,296000.0,704000.0,674000.0
Pretax Income,1535000.0,1225000.0,1179000.0,2365000.0,2644000.0
Selling General And Administration,10146000.0,9577000.0,10761000.0,10807000.0,10790000.0
Selling And Marketing Expense,532000.0,540000.0,588000.0,640000.0,929000.0
General And Administrative Expense,9614000.0,9037000.0,10173000.0,10167000.0,9861000.0
Salaries And Wages,9614000.0,9037000.0,10173000.0,10167000.0,9861000.0
Total Revenue,19765000.0,18877000.0,21291000.0,20840000.0,21091000.0
Operating Revenue,19765000.0,18877000.0,21291000.0,20840000.0,21091000.0
Occupancy And Equipment,1248000.0,1273000.0,1110000.0,1150000.0,1262000.0
Professional Expense And Contract Services Expense,853000.0,877000.0,1349000.0,1070000.0,816000.0
Other Non Interest Expense,2861000.0,2925000.0,2834000.0,2711000.0,2578000.0
