,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.0,0.21,0.0,0.21,
Net Income From Continuing Operation Net Minority Interest,4385357.0,-8121517.0,3263607.0,-874541.0,5259005.0,
Net Interest Income,3156405.0,3575468.0,3401801.0,4159266.0,5060835.0,
Interest Expense,1929045.0,1959287.0,1962678.0,1962676.0,1960984.0,
Interest Income,5085450.0,5534755.0,5364479.0,6121942.0,7021819.0,
Normalized Income,4385357.0,-8121517.0,3263607.0,-874541.0,5259005.0,
Net Income From Continuing And Discontinued Operation,4385357.0,-8121517.0,3263607.0,-874541.0,5259005.0,
Diluted Average Shares,73243091.0,69984752.0,,64796212.0,60654421.0,59639285.0
Basic Average Shares,73243091.0,69984752.0,,64796212.0,60654421.0,59639285.0
Diluted EPS,0.06,-0.12,,-0.01,0.09,-0.03
Basic EPS,0.06,-0.12,,-0.01,0.09,-0.03
Diluted NI Availto Com Stockholders,4385357.0,-8121517.0,3263607.0,-874541.0,5259005.0,
Net Income Common Stockholders,4385357.0,-8121517.0,3263607.0,-874541.0,5259005.0,
Net Income,4385357.0,-8121517.0,3263607.0,-874541.0,5259005.0,
Net Income Including Noncontrolling Interests,4385357.0,-8121517.0,3263607.0,-874541.0,5259005.0,
Net Income Continuous Operations,4385357.0,-8121517.0,3263607.0,-874541.0,5259005.0,
Pretax Income,4385357.0,-8121517.0,3263607.0,-874541.0,5259005.0,
Gain On Sale Of Security,-2321562.0,-12158495.0,-44796598.0,-12904989.0,-30439962.0,
Operating Expense,1103040.0,1039104.0,1046963.0,1107742.0,739214.0,
Other Operating Expenses,70366.0,120816.0,381147.0,143735.0,-373824.0,
Selling General And Administration,804378.0,678711.0,509907.0,754534.0,938556.0,
General And Administrative Expense,804378.0,678711.0,509907.0,754534.0,938556.0,
Total Revenue,5488397.0,-7082413.0,4310570.0,233201.0,5998219.0,
Operating Revenue,5488397.0,-7082413.0,4310570.0,233201.0,5998219.0,
