,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.276601,0.291144,0.225551,0.270542,0.277447,
Net Income From Continuing Operation Net Minority Interest,98445000.0,56612000.0,70088000.0,-19616000.0,26540000.0,
Reconciled Depreciation,251000.0,167000.0,313000.0,175000.0,175000.0,
Net Interest Income,-12305000.0,8716000.0,13550000.0,13749000.0,3332000.0,
Interest Expense,79746000.0,64677000.0,61560000.0,59401000.0,59530000.0,
Interest Income,67441000.0,73393000.0,75110000.0,73150000.0,62862000.0,
Normalized Income,98445000.0,56612000.0,70088000.0,-19616000.0,26540000.0,
Net Income From Continuing And Discontinued Operation,98445000.0,56612000.0,70088000.0,-19616000.0,26540000.0,
Diluted Average Shares,137740850.0,137956858.0,137130030.0,116584392.0,114433285.0,
Basic Average Shares,121515164.0,119381781.0,118615360.0,116584392.0,114329692.0,
Diluted EPS,0.74,0.44,0.54,-0.17,0.23,
Basic EPS,0.8,0.47,0.59,-0.17,0.23,
Diluted NI Availto Com Stockholders,101445000.0,60600000.0,58588000.0,-20016000.0,26240000.0,
Average Dilution Earnings,3900000.0,4500000.0,,0.0,0.0,6700000.0
Net Income Common Stockholders,97545000.0,56100000.0,71188000.0,-20016000.0,26240000.0,
Otherunder Preferred Stock Dividend,900000.0,512000.0,,400000.0,300000.0,925000.0
Preferred Stock Dividends,0.0,0.0,,0.0,0.0,0.0
Net Income,98445000.0,56612000.0,70088000.0,-19616000.0,26540000.0,
Minority Interests,-1350000.0,-1573000.0,-1224000.0,-440000.0,-404000.0,
Net Income Including Noncontrolling Interests,99795000.0,58185000.0,71312000.0,-19176000.0,26944000.0,
Net Income Continuous Operations,99795000.0,58185000.0,71312000.0,-19176000.0,26944000.0,
Tax Provision,38158000.0,23898000.0,20769000.0,-7112000.0,10346000.0,
Pretax Income,137953000.0,82083000.0,92081000.0,-26288000.0,37290000.0,
Gain On Sale Of Security,7829000.0,18668000.0,18257000.0,7678000.0,25795000.0,
Operating Expense,25666000.0,38170000.0,33515000.0,25447000.0,24571000.0,
Other Operating Expenses,1038000.0,3812000.0,2003000.0,1233000.0,-4198000.0,
Selling General And Administration,6497000.0,9378000.0,8904000.0,6993000.0,7955000.0,
General And Administrative Expense,6497000.0,9378000.0,8904000.0,6993000.0,7955000.0,
Total Revenue,163619000.0,120253000.0,125596000.0,-841000.0,61861000.0,
Operating Revenue,163619000.0,120253000.0,125596000.0,-841000.0,61861000.0,
