,2025-06-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.21,0.21
Net Income From Continuing Operation Net Minority Interest,12947778.0,8510046.0
Net Interest Income,12423166.0,8994622.0
Interest Expense,2822624.0,1892251.0
Interest Income,15245790.0,10886873.0
Normalized Income,12947778.0,8510046.0
Net Income From Continuing And Discontinued Operation,12947778.0,8510046.0
Diluted Average Shares,25409702.0,15730126.0
Basic Average Shares,25409702.0,15730126.0
Diluted EPS,0.09,0.541003
Basic EPS,0.09,0.541003
Diluted NI Availto Com Stockholders,12947778.0,8510046.0
Net Income Common Stockholders,12947778.0,8510046.0
Net Income,12947778.0,8510046.0
Net Income Including Noncontrolling Interests,12947778.0,8510046.0
Net Income Continuous Operations,12947778.0,8510046.0
Pretax Income,12947778.0,8510046.0
Gain On Sale Of Security,512159.0,347756.0
Operating Expense,1036835.0,2019903.0
Other Operating Expenses,25000.0,37500.0
Selling General And Administration,1011835.0,1982403.0
General And Administrative Expense,1011835.0,1982403.0
Total Revenue,13984613.0,10529949.0
Operating Revenue,13984613.0,10529949.0
