,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-33589285.714286,3611111.111111,-1569377.990431,-328703.703704,-159144.893112,
Tax Rate For Calcs,0.160714,0.180556,0.196172,0.164352,0.159145,
Normalized EBITDA,665000000.0,494000000.0,897000000.0,746000000.0,782000000.0,
Total Unusual Items,-209000000.0,20000000.0,-8000000.0,-2000000.0,-1000000.0,
Total Unusual Items Excluding Goodwill,-209000000.0,20000000.0,-8000000.0,-2000000.0,-1000000.0,
Net Income From Continuing Operation Net Minority Interest,-97000000.0,56000000.0,341000000.0,351000000.0,353000000.0,
Reconciled Depreciation,464000000.0,428000000.0,451000000.0,292000000.0,439000000.0,
Reconciled Cost Of Revenue,1840000000.0,1676000000.0,2069000000.0,2023000000.0,1936000000.0,
EBITDA,456000000.0,514000000.0,889000000.0,744000000.0,781000000.0,
EBIT,-8000000.0,86000000.0,438000000.0,452000000.0,342000000.0,
Net Interest Income,45000000.0,48000000.0,52000000.0,55000000.0,51000000.0,
Interest Expense,,14000000.0,20000000.0,20000000.0,38000000.0,21000000.0
Interest Income,45000000.0,62000000.0,72000000.0,75000000.0,51000000.0,
Normalized Income,78410714.285714,39611111.111111,347430622.009569,352671296.296296,353840855.106888,
Net Income From Continuing And Discontinued Operation,-97000000.0,56000000.0,341000000.0,351000000.0,353000000.0,
Total Expenses,2774000000.0,2555000000.0,3012000000.0,2900000000.0,2890000000.0,
Total Operating Income As Reported,-133000000.0,3000000.0,369000000.0,381000000.0,375000000.0,
Diluted Average Shares,893900000.0,933595296.0,935700000.0,938583250.0,941100000.0,
Basic Average Shares,881818182.0,896052652.0,897368421.0,902253479.0,905128205.0,
Diluted EPS,-0.11,0.06,0.37,0.37,0.38,
Basic EPS,-0.11,0.06,0.38,0.39,0.39,
Diluted NI Availto Com Stockholders,-97000000.0,56000000.0,342000000.0,351000000.0,353000000.0,
Net Income Common Stockholders,-97000000.0,56000000.0,341000000.0,351000000.0,353000000.0,
Net Income,-97000000.0,56000000.0,341000000.0,351000000.0,353000000.0,
Minority Interests,-3000000.0,-3000000.0,5000000.0,-10000000.0,-1000000.0,
Net Income Including Noncontrolling Interests,-94000000.0,59000000.0,336000000.0,361000000.0,354000000.0,
Net Income Continuous Operations,-94000000.0,59000000.0,336000000.0,361000000.0,354000000.0,
Tax Provision,-18000000.0,13000000.0,82000000.0,71000000.0,67000000.0,
Pretax Income,-112000000.0,72000000.0,418000000.0,432000000.0,421000000.0,
Other Income Expense,-149000000.0,62000000.0,56000000.0,26000000.0,28000000.0,
Other Non Operating Income Expenses,60000000.0,42000000.0,64000000.0,28000000.0,29000000.0,
Special Income Charges,-190000000.0,-12000000.0,-8000000.0,-10000000.0,0.0,
Gain On Sale Of Ppe,,1000000.0,0.0,2000000.0,1000000.0,2000000.0
Other Special Charges,,5000000.0,8000000.0,12000000.0,21000000.0,31000000.0
Write Off,,8000000.0,,,,0.0
Restructuring And Mergern Acquisition,,,,,22000000.0,
Gain On Sale Of Security,-19000000.0,32000000.0,0.0,8000000.0,-1000000.0,
Net Non Operating Interest Income Expense,45000000.0,48000000.0,52000000.0,55000000.0,51000000.0,
Interest Expense Non Operating,,14000000.0,20000000.0,20000000.0,38000000.0,21000000.0
Interest Income Non Operating,45000000.0,62000000.0,72000000.0,75000000.0,51000000.0,
Operating Income,-8000000.0,-38000000.0,310000000.0,351000000.0,342000000.0,
Operating Expense,934000000.0,879000000.0,943000000.0,877000000.0,954000000.0,
Other Operating Expenses,,,,,-58000000.0,-60000000.0
Research And Development,514000000.0,489000000.0,523000000.0,492000000.0,535000000.0,
Selling General And Administration,420000000.0,390000000.0,420000000.0,385000000.0,419000000.0,
General And Administrative Expense,420000000.0,390000000.0,,,419000000.0,425000000.0
Other Gand A,420000000.0,390000000.0,,,419000000.0,425000000.0
Salaries And Wages,,,,,4000000.0,4000000.0
Gross Profit,926000000.0,841000000.0,1253000000.0,1228000000.0,1296000000.0,
Cost Of Revenue,1840000000.0,1676000000.0,2069000000.0,2023000000.0,1936000000.0,
Total Revenue,2766000000.0,2517000000.0,3322000000.0,3251000000.0,3232000000.0,
Operating Revenue,2745000000.0,2513000000.0,3302000000.0,3245000000.0,3227000000.0,
