,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.223,0.22,0.218,0.214513,0.217
Normalized EBITDA,320667000.0,313968000.0,303407000.0,365862000.0,310836000.0
Net Income From Continuing Operation Net Minority Interest,183742000.0,180017000.0,170575000.0,220196000.0,176701000.0
Reconciled Depreciation,64692000.0,63963000.0,65872000.0,66402000.0,63658000.0
Reconciled Cost Of Revenue,2545567000.0,2414377000.0,2513581000.0,2616861000.0,2410075000.0
EBITDA,320667000.0,313968000.0,303407000.0,365862000.0,310836000.0
EBIT,255975000.0,250005000.0,237535000.0,299460000.0,247178000.0
Net Interest Income,-3234000.0,-17863000.0,-10258000.0,-14450000.0,-10975000.0
Interest Expense,19461000.0,19516000.0,19462000.0,19430000.0,21459000.0
Interest Income,16227000.0,1653000.0,9204000.0,4980000.0,10484000.0
Normalized Income,183742000.0,180017000.0,170575000.0,220196000.0,176701000.0
Net Income From Continuing And Discontinued Operation,183742000.0,180017000.0,170575000.0,220196000.0,176701000.0
Total Expenses,2804280000.0,2665809000.0,2776594000.0,2855448000.0,2669728000.0
Total Operating Income As Reported,239748000.0,248352000.0,228330000.0,294480000.0,236693000.0
Diluted Average Shares,550723000.0,550611000.0,549854000.0,549456000.0,549266000.0
Basic Average Shares,550408000.0,550277000.0,549460000.0,548942000.0,548685000.0
Diluted EPS,0.33,0.33,0.31,0.4,0.32
Basic EPS,0.33,0.33,0.31,0.4,0.32
Diluted NI Availto Com Stockholders,183742000.0,180017000.0,170575000.0,220196000.0,176701000.0
Net Income Common Stockholders,183742000.0,180017000.0,170575000.0,220196000.0,176701000.0
Net Income,183742000.0,180017000.0,170575000.0,220196000.0,176701000.0
Minority Interests,46000.0,275000.0,45000.0,237000.0,-34000.0
Net Income Including Noncontrolling Interests,183696000.0,179742000.0,170530000.0,219960000.0,176735000.0
Net Income Continuous Operations,183696000.0,179742000.0,170530000.0,219960000.0,176735000.0
Tax Provision,52818000.0,50747000.0,47543000.0,60070000.0,48984000.0
Pretax Income,236514000.0,230489000.0,218073000.0,280030000.0,225719000.0
Other Income Expense,11153000.0,15350000.0,16111000.0,11838000.0,7977000.0
Earnings From Equity Interest,11153000.0,15350000.0,16111000.0,11838000.0,7977000.0
Net Non Operating Interest Income Expense,-3234000.0,-17863000.0,-10258000.0,-14450000.0,-10975000.0
Interest Expense Non Operating,19461000.0,19516000.0,19462000.0,19430000.0,21459000.0
Interest Income Non Operating,16227000.0,1653000.0,9204000.0,4980000.0,10484000.0
Operating Income,228596000.0,233001000.0,212219000.0,282643000.0,228716000.0
Operating Expense,258713000.0,251432000.0,263013000.0,238587000.0,259653000.0
Selling General And Administration,258713000.0,251432000.0,263013000.0,238587000.0,259653000.0
Gross Profit,487309000.0,484433000.0,475232000.0,521230000.0,488369000.0
Cost Of Revenue,2545567000.0,2414377000.0,2513581000.0,2616861000.0,2410075000.0
Total Revenue,3032876000.0,2898810000.0,2988813000.0,3138091000.0,2898443000.0
Operating Revenue,3032876000.0,2898810000.0,2988813000.0,3138091000.0,2898443000.0
