,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,-5437012.0,-5437064.0,-7755074.0
Net Income From Continuing Operation Net Minority Interest,-5183327.0,-6299757.0,-8251727.0
Reconciled Depreciation,204470.0,203574.0,171016.0
Reconciled Cost Of Revenue,80027.0,94483.0,100147.0
EBITDA,-5437012.0,-5437064.0,-7755074.0
EBIT,-5641482.0,-5640638.0,-7926090.0
Normalized Income,-5183327.0,-6299757.0,-8251727.0
Net Income From Continuing And Discontinued Operation,-5183327.0,-6299757.0,-8251727.0
Total Expenses,7014779.0,5822307.0,8175035.0
Total Operating Income As Reported,-6590398.0,-5640638.0,-7926090.0
Diluted Average Shares,,15967714.0,14915905.0
Basic Average Shares,,15967714.0,14915905.0
Diluted EPS,,-0.39,-0.56
Basic EPS,,-0.39,-0.56
Diluted NI Availto Com Stockholders,-5183327.0,-6299757.0,-8251727.0
Net Income Common Stockholders,-5183327.0,-6299757.0,-8251727.0
Net Income,-5183327.0,-6299757.0,-8251727.0
Net Income Including Noncontrolling Interests,-5183327.0,-6299757.0,-8251727.0
Net Income Continuous Operations,-5183327.0,-6299757.0,-8251727.0
Tax Provision,0.0,0.0,0.0
Pretax Income,-5183327.0,-6299757.0,-8251727.0
Other Income Expense,2426272.0,-659119.0,-325637.0
Other Non Operating Income Expenses,2377595.0,-659119.0,-325637.0
Operating Income,-6800018.0,-5640638.0,-7926090.0
Operating Expense,6934752.0,5727824.0,8074888.0
Depreciation Amortization Depletion Income Statement,-52684.0,,
Depreciation And Amortization In Income Statement,-52684.0,,
Research And Development,1999225.0,1854795.0,3478595.0
Selling General And Administration,4778591.0,3873029.0,4596293.0
Selling And Marketing Expense,1247730.0,1122134.0,1799569.0
General And Administrative Expense,3530861.0,2750895.0,2796724.0
Other Gand A,1464327.0,2750895.0,2796724.0
Insurance And Claims,176651.0,,
Salaries And Wages,2005007.0,,
Gross Profit,134734.0,87186.0,148798.0
Cost Of Revenue,80027.0,94483.0,100147.0
Total Revenue,214761.0,181669.0,248945.0
Operating Revenue,214761.0,181669.0,248945.0
