,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.265698,0.23,0.242769,0.251145,0.260153,
Normalized EBITDA,384820000.0,347117000.0,553942000.0,379036000.0,346184000.0,
Net Income From Continuing Operation Net Minority Interest,247562000.0,231263000.0,384887000.0,248953000.0,225745000.0,
Reconciled Depreciation,56761000.0,56404000.0,58145000.0,58393000.0,56268000.0,
Reconciled Cost Of Revenue,972137000.0,964304000.0,1350475000.0,958953000.0,961981000.0,
EBITDA,384820000.0,347117000.0,553942000.0,379036000.0,346184000.0,
EBIT,328059000.0,290713000.0,495797000.0,320643000.0,289916000.0,
Net Interest Income,9080000.0,9533000.0,12485000.0,11802000.0,15208000.0,
Interest Income,9080000.0,9533000.0,12485000.0,11802000.0,15208000.0,
Normalized Income,247562000.0,231263000.0,384887000.0,248953000.0,225745000.0,
Net Income From Continuing And Discontinued Operation,247562000.0,231263000.0,384887000.0,248953000.0,225745000.0,
Total Expenses,1508701000.0,1439400000.0,1966421000.0,1480025000.0,1498391000.0,
Total Operating Income As Reported,328059000.0,290713000.0,495797000.0,320643000.0,289916000.0,
Diluted Average Shares,123595000.0,124789000.0,,126892000.0,129810000.0,130630000.0
Basic Average Shares,122121000.0,123108000.0,,125333000.0,128256000.0,128412000.0
Diluted EPS,2.0,1.85,,1.96,1.74,2.035
Basic EPS,2.03,1.88,,1.99,1.76,2.07
Diluted NI Availto Com Stockholders,247562000.0,231263000.0,384887000.0,248953000.0,225745000.0,
Net Income Common Stockholders,247562000.0,231263000.0,384887000.0,248953000.0,225745000.0,
Net Income,247562000.0,231263000.0,384887000.0,248953000.0,225745000.0,
Net Income Including Noncontrolling Interests,247562000.0,231263000.0,384887000.0,248953000.0,225745000.0,
Net Income Continuous Operations,247562000.0,231263000.0,384887000.0,248953000.0,225745000.0,
Tax Provision,89577000.0,68983000.0,123395000.0,83492000.0,79379000.0,
Pretax Income,337139000.0,300246000.0,508282000.0,332445000.0,305124000.0,
Net Non Operating Interest Income Expense,9080000.0,9533000.0,12485000.0,11802000.0,15208000.0,
Interest Income Non Operating,9080000.0,9533000.0,12485000.0,11802000.0,15208000.0,
Operating Income,328059000.0,290713000.0,495797000.0,320643000.0,289916000.0,
Operating Expense,536564000.0,475096000.0,615946000.0,521072000.0,536410000.0,
Selling General And Administration,536564000.0,475096000.0,615946000.0,521072000.0,536410000.0,
Gross Profit,864623000.0,765809000.0,1111743000.0,841715000.0,826326000.0,
Cost Of Revenue,972137000.0,964304000.0,1350475000.0,958953000.0,961981000.0,
Total Revenue,1836760000.0,1730113000.0,2462218000.0,1800668000.0,1788307000.0,
Operating Revenue,1836760000.0,1730113000.0,2462218000.0,1800668000.0,1788307000.0,
