,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.21,0.21,
Net Income From Continuing Operation Net Minority Interest,78887000.0,50337000.0,61439000.0,68711000.0,41852000.0,
Reconciled Depreciation,81000.0,89000.0,93000.0,91000.0,96000.0,
Net Interest Income,106641000.0,95874000.0,94842000.0,98680000.0,98367000.0,
Interest Expense,22930000.0,19698000.0,19995000.0,20370000.0,19162000.0,
Interest Income,129571000.0,115572000.0,114837000.0,119050000.0,117529000.0,
Normalized Income,78887000.0,50337000.0,61439000.0,68711000.0,41852000.0,
Net Income From Continuing And Discontinued Operation,78887000.0,50337000.0,61439000.0,68711000.0,41852000.0,
Diluted Average Shares,,175383000.0,165607000.0,161515000.0,161309000.0,157920000.0
Basic Average Shares,,171494000.0,165074000.0,161019000.0,160748000.0,157445000.0
Diluted EPS,,0.29,0.37,0.42,0.25,0.57
Basic EPS,,0.29,0.37,0.42,0.26,0.57
Diluted NI Availto Com Stockholders,78887000.0,50337000.0,61439000.0,68711000.0,41852000.0,
Net Income Common Stockholders,78887000.0,50337000.0,61439000.0,68711000.0,41852000.0,
Net Income,78887000.0,50337000.0,61439000.0,68711000.0,41852000.0,
Net Income Including Noncontrolling Interests,78887000.0,50337000.0,61439000.0,68711000.0,41852000.0,
Net Income Continuous Operations,78887000.0,50337000.0,61439000.0,68711000.0,41852000.0,
Pretax Income,78887000.0,50337000.0,61439000.0,68711000.0,41852000.0,
Gain On Sale Of Security,-57616000.0,-1541000.0,-33311000.0,-559000.0,-5784000.0,
Operating Expense,25816000.0,22370000.0,20812000.0,21714000.0,23486000.0,
Other Operating Expenses,387000.0,42000.0,789000.0,1765000.0,1248000.0,
Selling General And Administration,5103000.0,4812000.0,5537000.0,4596000.0,4481000.0,
General And Administrative Expense,5103000.0,4812000.0,5537000.0,4596000.0,4481000.0,
Total Revenue,104703000.0,72707000.0,82251000.0,90425000.0,65338000.0,
Operating Revenue,104703000.0,72707000.0,82251000.0,90425000.0,65338000.0,
