,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.239602,0.208482,0.218,0.24,0.225
Normalized EBITDA,203425000.0,209532000.0,601713000.0,336752000.0,167245000.0
Net Income From Continuing Operation Net Minority Interest,139203000.0,151411000.0,456734000.0,242321000.0,115625000.0
Reconciled Depreciation,19424000.0,17515000.0,17161000.0,16689000.0,17061000.0
Reconciled Cost Of Revenue,426632000.0,442012000.0,724542000.0,578048000.0,355347000.0
EBITDA,203425000.0,209532000.0,601713000.0,336752000.0,167245000.0
EBIT,184001000.0,192017000.0,584552000.0,320063000.0,150184000.0
Net Interest Income,17761000.0,19637000.0,15368000.0,13646000.0,16221000.0
Interest Expense,935000.0,725000.0,610000.0,1151000.0,1031000.0
Interest Income,18696000.0,20362000.0,15978000.0,14797000.0,17252000.0
Normalized Income,139203000.0,151411000.0,456734000.0,242321000.0,115625000.0
Net Income From Continuing And Discontinued Operation,139203000.0,151411000.0,456734000.0,242321000.0,115625000.0
Total Expenses,799251000.0,847855000.0,1259891000.0,1006234000.0,692540000.0
Total Operating Income As Reported,165287000.0,173925000.0,567274000.0,305086000.0,132807000.0
Diluted Average Shares,149635000.0,151685000.0,152386000.0,152778000.0,153486000.0
Basic Average Shares,149344000.0,151029000.0,151820000.0,152240000.0,152868000.0
Diluted EPS,0.93,1.0,3.0,1.59,0.753333
Basic EPS,0.93,1.0,3.01,1.59,0.756667
Diluted NI Availto Com Stockholders,139203000.0,151411000.0,456734000.0,242321000.0,115625000.0
Net Income Common Stockholders,139203000.0,151411000.0,456734000.0,242321000.0,115625000.0
Net Income,139203000.0,151411000.0,456734000.0,242321000.0,115625000.0
Net Income Including Noncontrolling Interests,139203000.0,151411000.0,456734000.0,242321000.0,115625000.0
Net Income Continuous Operations,139203000.0,151411000.0,456734000.0,242321000.0,115625000.0
Tax Provision,43863000.0,39881000.0,127208000.0,76591000.0,33528000.0
Pretax Income,183066000.0,191292000.0,583942000.0,318912000.0,149153000.0
Other Income Expense,18000.0,-2270000.0,1300000.0,180000.0,125000.0
Other Non Operating Income Expenses,18000.0,-2270000.0,1300000.0,180000.0,125000.0
Net Non Operating Interest Income Expense,17761000.0,19637000.0,15368000.0,13646000.0,16221000.0
Interest Expense Non Operating,935000.0,725000.0,610000.0,1151000.0,1031000.0
Interest Income Non Operating,18696000.0,20362000.0,15978000.0,14797000.0,17252000.0
Operating Income,165287000.0,173925000.0,567274000.0,305086000.0,132807000.0
Operating Expense,372619000.0,405843000.0,535349000.0,428186000.0,337193000.0
Selling General And Administration,372619000.0,405843000.0,535349000.0,428186000.0,337193000.0
Gross Profit,537906000.0,579768000.0,1102623000.0,733272000.0,470000000.0
Cost Of Revenue,426632000.0,442012000.0,724542000.0,578048000.0,355347000.0
Total Revenue,964538000.0,1021780000.0,1827165000.0,1311320000.0,825347000.0
Operating Revenue,964538000.0,1021780000.0,1827165000.0,1311320000.0,825347000.0
