,2024-09-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.21,0.21
Net Income From Continuing Operation Net Minority Interest,6137288.0,12354715.0
Net Interest Income,-22653.0,10834904.0
Interest Expense,140213.0,45141.0
Interest Income,117560.0,10880045.0
Normalized Income,6137288.0,12354715.0
Net Income From Continuing And Discontinued Operation,6137288.0,12354715.0
Diluted NI Availto Com Stockholders,6137288.0,12354715.0
Net Income Common Stockholders,6137288.0,12354715.0
Net Income,6137288.0,12354715.0
Net Income Including Noncontrolling Interests,6137288.0,12354715.0
Net Income Continuous Operations,6137288.0,12354715.0
Pretax Income,6137288.0,12354715.0
Gain On Sale Of Security,17941016.0,-312172.0
Operating Expense,6325855.0,123953.0
Other Operating Expenses,20484.0,
Selling General And Administration,6305371.0,123953.0
General And Administrative Expense,6305371.0,123953.0
Total Revenue,12463143.0,12478668.0
Operating Revenue,12463143.0,12478668.0
