,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.023911,0.027075,0.023004,0.025246,0.017139
Net Income From Continuing Operation Net Minority Interest,155042000.0,149809000.0,162492000.0,151664000.0,196186000.0
Net Interest Income,258687000.0,269399000.0,253651000.0,259312000.0,251193000.0
Interest Expense,84569000.0,87640000.0,97217000.0,83385000.0,74511000.0
Interest Income,343256000.0,357039000.0,350868000.0,342697000.0,325704000.0
Normalized Income,155042000.0,149809000.0,162492000.0,151664000.0,196186000.0
Net Income From Continuing And Discontinued Operation,155042000.0,149809000.0,162492000.0,151664000.0,196186000.0
Diluted Average Shares,228192335.0,226577167.0,217362279.0,203419337.0,193908352.0
Basic Average Shares,228192335.0,226577167.0,217362279.0,203419337.0,193908352.0
Diluted EPS,0.68,0.66,0.75,0.75,1.01
Basic EPS,0.68,0.66,0.75,0.75,1.01
Diluted NI Availto Com Stockholders,155042000.0,149809000.0,162492000.0,151664000.0,196186000.0
Net Income Common Stockholders,155042000.0,149809000.0,162492000.0,151664000.0,196186000.0
Net Income,155042000.0,149809000.0,162492000.0,151664000.0,196186000.0
Net Income Including Noncontrolling Interests,155042000.0,149809000.0,162492000.0,151664000.0,196186000.0
Net Income Continuous Operations,155042000.0,149809000.0,162492000.0,151664000.0,196186000.0
Tax Provision,3798000.0,4169000.0,3826000.0,3928000.0,3421000.0
Pretax Income,158840000.0,153978000.0,166318000.0,155592000.0,199607000.0
Gain On Sale Of Security,-9023000.0,6998000.0,6787000.0,-17334000.0,778000.0
Operating Expense,11212000.0,9681000.0,-1549000.0,7593000.0,8021000.0
Other Operating Expenses,7712000.0,6460000.0,-4507000.0,4745000.0,4913000.0
Selling General And Administration,3500000.0,3221000.0,2958000.0,2848000.0,3108000.0
General And Administrative Expense,3500000.0,3221000.0,2958000.0,2848000.0,3108000.0
Total Revenue,170052000.0,163659000.0,164769000.0,163185000.0,207628000.0
Operating Revenue,170052000.0,163659000.0,164769000.0,163185000.0,207628000.0
