,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-25942822.230181,-37173747.0,-20652348.0,-125662110.0,-18479105.061957
Tax Rate For Calcs,0.230429,0.227,0.204,0.21,0.223989
Normalized EBITDA,1384731000.0,1488708000.0,1064337000.0,1057639000.0,1050660000.0
Total Unusual Items,-112585000.0,-163761000.0,-101237000.0,-598391000.0,-82500000.0
Total Unusual Items Excluding Goodwill,-112585000.0,-163761000.0,-101237000.0,-598391000.0,-82500000.0
Net Income From Continuing Operation Net Minority Interest,687402000.0,717871000.0,488600000.0,3382000.0,483463000.0
Reconciled Depreciation,258973000.0,263973000.0,281472000.0,279751000.0,280890000.0
Reconciled Cost Of Revenue,77751439000.0,72389709000.0,78926042000.0,76554982000.0,71822281000.0
EBITDA,1272146000.0,1324947000.0,963100000.0,459248000.0,968160000.0
EBIT,1013173000.0,1060974000.0,681628000.0,179497000.0,687270000.0
Net Interest Income,-81794000.0,-103988000.0,-27933000.0,-20969000.0,-31328000.0
Interest Expense,116896000.0,132318000.0,61181000.0,54320000.0,58936000.0
Interest Income,35102000.0,28330000.0,33248000.0,33351000.0,27608000.0
Normalized Income,774044177.769819,844458253.0,569184652.0,476110890.0,547483894.938043
Net Income From Continuing And Discontinued Operation,687402000.0,717871000.0,488600000.0,3382000.0,483463000.0
Total Expenses,79683293000.0,74253722000.0,80679569000.0,78325076000.0,73486377000.0
Total Operating Income As Reported,867654000.0,1036190000.0,706254000.0,126639000.0,672476000.0
Diluted Average Shares,195230000.0,195094000.0,195188000.0,198082000.0,200047000.0
Basic Average Shares,193822000.0,193796000.0,193758000.0,196270000.0,198260000.0
Diluted EPS,3.52,3.68,2.5,0.02,2.42
Basic EPS,3.55,3.7,2.52,0.02,2.44
Diluted NI Availto Com Stockholders,687402000.0,717871000.0,488600000.0,3382000.0,483463000.0
Net Income Common Stockholders,687402000.0,717871000.0,488600000.0,3382000.0,483463000.0
Net Income,687402000.0,717871000.0,488600000.0,3382000.0,483463000.0
Minority Interests,-2347000.0,454000.0,-5119000.0,-4084000.0,-4131000.0
Net Income Including Noncontrolling Interests,689749000.0,717417000.0,493719000.0,7466000.0,487594000.0
Net Income Continuous Operations,689749000.0,717417000.0,493719000.0,7466000.0,487594000.0
Tax Provision,206528000.0,211239000.0,126728000.0,117711000.0,140740000.0
Pretax Income,896277000.0,928656000.0,620447000.0,125177000.0,628334000.0
Other Income Expense,-2168000.0,-167307000.0,-159111000.0,-578884000.0,-95314000.0
Other Non Operating Income Expenses,110417000.0,-3546000.0,-57874000.0,19507000.0,-12814000.0
Special Income Charges,-112585000.0,-163761000.0,-101237000.0,-598391000.0,-82500000.0
Other Special Charges,17974000.0,11524000.0,16765000.0,65517000.0,14485000.0
Restructuring And Mergern Acquisition,94611000.0,152237000.0,84472000.0,114874000.0,68015000.0
Net Non Operating Interest Income Expense,-81794000.0,-103988000.0,-27933000.0,-20969000.0,-31328000.0
Interest Expense Non Operating,116896000.0,132318000.0,61181000.0,54320000.0,58936000.0
Interest Income Non Operating,35102000.0,28330000.0,33248000.0,33351000.0,27608000.0
Operating Income,980239000.0,1199951000.0,807491000.0,725030000.0,754976000.0
Operating Expense,1926876000.0,1859858000.0,1750547000.0,1767387000.0,1655801000.0
Depreciation Amortization Depletion Income Statement,253995000.0,259818000.0,278492000.0,277044000.0,272595000.0
Depreciation And Amortization In Income Statement,253995000.0,259818000.0,278492000.0,277044000.0,272595000.0
Amortization,125867000.0,138003000.0,165780000.0,166892000.0,164655000.0
Amortization Of Intangibles Income Statement,125867000.0,138003000.0,165780000.0,166892000.0,164655000.0
Depreciation Income Statement,128128000.0,121815000.0,112712000.0,110152000.0,107940000.0
Selling General And Administration,1672881000.0,1600040000.0,1472055000.0,1490343000.0,1383206000.0
Gross Profit,2907115000.0,3059809000.0,2558038000.0,2492417000.0,2410777000.0
Cost Of Revenue,77756417000.0,72393864000.0,78929022000.0,76557689000.0,71830576000.0
Total Revenue,80663532000.0,75453673000.0,81487060000.0,79050106000.0,74241353000.0
Operating Revenue,80663532000.0,75453673000.0,81487060000.0,79050106000.0,74241353000.0
